ORDRE;FAMILLE;SOUS_FAMILLE;CD_NOM;CD_TAXSUP;CD_SUP;CD_REF;RANG;LB_NOM;LB_AUTEUR;NOM_COMPLET;NOM_COMPLET_HTML;NOM_VALIDE;NOM_VERN;NOM_VERN_ENG;SONOTYPE;HABITAT;FR;GF;MAR;GUA;SM;SB;SPM;MAY;EPA;REU;SA;TA;TAAF;PF;NC;WF;CLI;URL
Chiroptera;Molossidae;;443655;443528;443528;443655;ES;Molossus molossus;(Pallas, 1766);Molossus molossus (Pallas, 1766);<i>Molossus molossus</i> (Pallas, 1766);Molossus molossus (Pallas, 1766);Molosse commun;Velvety Free-tailed Bat, Pallas's Mastiff Bat;QCF-FMd;3;;P;P;P;P;P;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443655
Chiroptera;Molossidae;;814258;;;443655;ES;Vespertilio molossus;Pallas, 1766;Vespertilio molossus Pallas, 1766;<i>Vespertilio molossus</i> Pallas, 1766;Molossus molossus (Pallas, 1766);Molosse commun;Velvety Free-tailed Bat, Pallas's Mastiff Bat;QCF-FMd;3;;P;P;P;P;P;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/814258
Chiroptera;Molossidae;;536085;443655;443655;536085;SSES;Molossus molossus molossus;(Pallas, 1766);Molossus molossus molossus (Pallas, 1766);<i>Molossus molossus molossus</i> (Pallas, 1766);Molossus molossus molossus (Pallas, 1766);;Pallas' Mastiff Bat;;3;;;;;P;P;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/536085
Chiroptera;Molossidae;;443657;443528;443528;443657;ES;Molossus rufus;(É. Geoffroy Saint-Hilaire, 1805);Molossus rufus (É. Geoffroy Saint-Hilaire, 1805);<i>Molossus rufus</i> (É. Geoffroy Saint-Hilaire, 1805);Molossus rufus (É. Geoffroy Saint-Hilaire, 1805);;;QCF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443657
Chiroptera;Molossidae;;443654;;;443657;ES;Molossus ater;(É. Geoffroy Saint-Hilaire, 1805);Molossus ater (É. Geoffroy Saint-Hilaire, 1805);<i>Molossus ater</i> (É. Geoffroy Saint-Hilaire, 1805);Molossus rufus (É. Geoffroy Saint-Hilaire, 1805);;;QCF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443654
Chiroptera;Molossidae;;443658;443528;443528;443658;ES;Molossus sinaloae;J.A. Allen, 1906;Molossus sinaloae J.A. Allen, 1906;<i>Molossus sinaloae</i> J.A. Allen, 1906;Molossus sinaloae J.A. Allen, 1906;;;QCF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443658
Chiroptera;Molossidae;;443659;;;443658;ES;Molossus trinitatus;Goodwin, 1959;Molossus trinitatus Goodwin, 1959;<i>Molossus trinitatus</i> Goodwin, 1959;Molossus sinaloae J.A. Allen, 1906;;;QCF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443659
Chiroptera;Molossidae;;458689;186237;186237;458689;GN;Mormopterus;Peters, 1865;Mormopterus Peters, 1865;<i>Mormopterus</i> Peters, 1865;Mormopterus Peters, 1865;;;;3;;;;;;;;;;P;;;;;;;;
Chiroptera;Molossidae;;458690;458689;458689;458690;ES;Mormopterus francoismoutoui;Goodman, Jansen van Vuuren, Ratrimomanarico, Probst & Bowie, 2008;Mormopterus francoismoutoui Goodman, Jansen van Vuuren, Ratrimomanarico, Probst & Bowie, 2008;<i>Mormopterus francoismoutoui</i> Goodman, Jansen van Vuuren, Ratrimomanarico, Probst & Bowie, 2008;Mormopterus francoismoutoui Goodman, Jansen van Vuuren, Ratrimomanarico, Probst & Bowie, 2008;Tadaride de la Réunion, Petit Molosse de la Réunion;;FMd-QCF;3;A;A;A;A;A;A;A;A;A;E;A;A;A;A;A;A;A;https://inpn.mnhn.fr/espece/cd_nom/458690
Chiroptera;Molossidae;;645625;;;458690;ES;Mormopterus acetabulosus;auct. non (Hermann, 1804);Mormopterus acetabulosus auct. non (Hermann, 1804);<i>Mormopterus acetabulosus</i> auct. non (Hermann, 1804);Mormopterus francoismoutoui Goodman, Jansen van Vuuren, Ratrimomanarico, Probst & Bowie, 2008;Tadaride de la Réunion, Petit Molosse de la Réunion;;FMd-QCF;3;A;A;A;A;A;A;A;A;A;E;A;A;A;A;A;A;A;https://inpn.mnhn.fr/espece/cd_nom/645625
Chiroptera;Molossidae;;645626;;;458690;ES;Tadarida acetabulosa;auct.;Tadarida acetabulosa auct.;<i>Tadarida acetabulosa</i> auct.;Mormopterus francoismoutoui Goodman, Jansen van Vuuren, Ratrimomanarico, Probst & Bowie, 2008;Tadaride de la Réunion, Petit Molosse de la Réunion;;FMd-QCF;3;A;A;A;A;A;A;A;A;A;E;A;A;A;A;A;A;A;https://inpn.mnhn.fr/espece/cd_nom/645626
Chiroptera;Molossidae;;593767;186237;186237;593767;GN;Nyctinomops;Miller, 1902;Nyctinomops Miller, 1902;<i>Nyctinomops</i> Miller, 1902;Nyctinomops Miller, 1902;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Molossidae;;443529;;;593767;GN;Nyctonomops;Miller, 1902;Nyctonomops Miller, 1902;<i>Nyctonomops</i> Miller, 1902;Nyctinomops Miller, 1902;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Molossidae;;593768;593767;593767;593768;ES;Nyctinomops laticaudatus;(É. Geoffroy Saint-Hilaire, 1805);Nyctinomops laticaudatus (É. Geoffroy Saint-Hilaire, 1805);<i>Nyctinomops laticaudatus</i> (É. Geoffroy Saint-Hilaire, 1805);Nyctinomops laticaudatus (É. Geoffroy Saint-Hilaire, 1805);;;FMd-QCF;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/593768
Chiroptera;Molossidae;;443660;;;593768;ES;Nyctonomops laticaudatus;(É. Geoffroy Saint-Hilaire, 1805);Nyctonomops laticaudatus (É. Geoffroy Saint-Hilaire, 1805);<i>Nyctonomops laticaudatus</i> (É. Geoffroy Saint-Hilaire, 1805);Nyctinomops laticaudatus (É. Geoffroy Saint-Hilaire, 1805);;;FMd-QCF;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443660
Chiroptera;Molossidae;;443664;;;593768;ES;Tadarida europs;(H. Allen, 1889);Tadarida europs (H. Allen, 1889);<i>Tadarida europs</i> (H. Allen, 1889);Nyctinomops laticaudatus (É. Geoffroy Saint-Hilaire, 1805);;;NA;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443664
Chiroptera;Molossidae;;655571;593767;593767;655571;ES;Nyctinomops macrotis;Gray, 1840;Nyctinomops macrotis Gray, 1840;<i>Nyctinomops macrotis</i> Gray, 1840;Nyctinomops macrotis Gray, 1840;;;FMd-QCF;3;;D;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/655571
Chiroptera;Molossidae;;443530;186237;186237;443530;GN;Promops;Gervais, 1856;Promops Gervais, 1856;<i>Promops</i> Gervais, 1856;Promops Gervais, 1856;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Molossidae;;443661;443530;443530;443661;ES;Promops centralis;Thomas, 1915;Promops centralis Thomas, 1915;<i>Promops centralis</i> Thomas, 1915;Promops centralis Thomas, 1915;;;FMu-QCF;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443661
Chiroptera;Molossidae;;443662;443530;443530;443662;ES;Promops nasutus;Spix, 1823;Promops nasutus Spix, 1823;<i>Promops nasutus</i> Spix, 1823;Promops nasutus Spix, 1823;;;FMu-QCF;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443662
Chiroptera;Molossidae;;198187;186237;186237;198187;GN;Tadarida;Rafinesque, 1814;Tadarida Rafinesque, 1814;<i>Tadarida</i> Rafinesque, 1814;Tadarida Rafinesque, 1814;;;;3;P;;P;P;P;P;;;;;;;;;;;;
Chiroptera;Molossidae;;443663;198187;198187;443663;ES;Tadarida brasiliensis;(I. Geoffroy Saint-Hilaire, 1824);Tadarida brasiliensis (I. Geoffroy Saint-Hilaire, 1824);<i>Tadarida brasiliensis</i> (I. Geoffroy Saint-Hilaire, 1824);Tadarida brasiliensis (I. Geoffroy Saint-Hilaire, 1824);Tadaride du Brésil;;FMd-QCF;3;;Q;P;P;P;P;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443663
Chiroptera;Molossidae;;538284;443663;443663;538284;SSES;Tadarida brasiliensis antillularum;(Miller, 1902);Tadarida brasiliensis antillularum (Miller, 1902);<i>Tadarida brasiliensis antillularum</i> (Miller, 1902);Tadarida brasiliensis antillularum (Miller, 1902);;Brazilian Free-tailed Bat;;3;;;;P;P;P;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/538284
Chiroptera;Molossidae;;60557;198187;198187;60557;ES;Tadarida teniotis;(Rafinesque, 1814);Tadarida teniotis (Rafinesque, 1814);<i>Tadarida teniotis</i> (Rafinesque, 1814);Tadarida teniotis (Rafinesque, 1814);Molosse de Cestoni;European Free-tailed Bat;FMd-QCF;3;P;;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/60557
Chiroptera;Molossidae;;60560;;;60557;ES;Tadarida cestoni;;Tadarida cestoni ;<i>Tadarida cestoni</i>;Tadarida teniotis (Rafinesque, 1814);Molosse de Cestoni;European Free-tailed Bat;FMd-QCF;3;P;;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/60560
Chiroptera;Molossidae;;60561;;;60557;ES;Tadarida midas;Schulze;Tadarida midas Schulze;<i>Tadarida midas</i> Schulze;Tadarida teniotis (Rafinesque, 1814);Molosse de Cestoni;European Free-tailed Bat;FMd-QCF;3;P;;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/60561
