ORDRE;FAMILLE;SOUS_FAMILLE;CD_NOM;CD_TAXSUP;CD_SUP;CD_REF;RANG;LB_NOM;LB_AUTEUR;NOM_COMPLET;NOM_COMPLET_HTML;NOM_VALIDE;NOM_VERN;NOM_VERN_ENG;SONOTYPE;HABITAT;FR;GF;MAR;GUA;SM;SB;SPM;MAY;EPA;REU;SA;TA;TAAF;PF;NC;WF;CLI;URL
Chiroptera;Phyllostomidae;Carolliinae;443672;443593;443593;443672;ES;Carollia brevicauda;(Schinz, 1821);Carollia brevicauda (Schinz, 1821);<i>Carollia brevicauda</i> (Schinz, 1821);Carollia brevicauda (Schinz, 1821);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443672
Chiroptera;Phyllostomidae;Carolliinae;443673;443593;443593;443673;ES;Carollia perspicillata;(Linnaeus, 1758);Carollia perspicillata (Linnaeus, 1758);<i>Carollia perspicillata</i> (Linnaeus, 1758);Carollia perspicillata (Linnaeus, 1758);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443673
Chiroptera;Phyllostomidae;Carolliinae;443594;655279;655279;443594;GN;Rhinophylla;Peters, 1865;Rhinophylla Peters, 1865;<i>Rhinophylla</i> Peters, 1865;Rhinophylla Peters, 1865;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Carolliinae;443675;443594;443594;443675;ES;Rhinophylla pumilio;Peters, 1865;Rhinophylla pumilio Peters, 1865;<i>Rhinophylla pumilio</i> Peters, 1865;Rhinophylla pumilio Peters, 1865;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443675
Chiroptera;Phyllostomidae;Desmodontinae;655275;443486;443486;655275;SBFM;Desmodontinae;Bonaparte, 1845;Desmodontinae Bonaparte, 1845;Desmodontinae Bonaparte, 1845;Desmodontinae Bonaparte, 1845;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Desmodontinae;443595;655275;655275;443595;GN;Desmodus;Wied-Neuwied, 1826;Desmodus Wied-Neuwied, 1826;<i>Desmodus</i> Wied-Neuwied, 1826;Desmodus Wied-Neuwied, 1826;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Desmodontinae;443676;443595;443595;443676;ES;Desmodus rotundus;(É. Geoffroy Saint-Hilaire, 1810);Desmodus rotundus (É. Geoffroy Saint-Hilaire, 1810);<i>Desmodus rotundus</i> (É. Geoffroy Saint-Hilaire, 1810);Desmodus rotundus (É. Geoffroy Saint-Hilaire, 1810);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443676
Chiroptera;Phyllostomidae;Desmodontinae;443596;655275;655275;443596;GN;Diaemus;Miller, 1906;Diaemus Miller, 1906;<i>Diaemus</i> Miller, 1906;Diaemus Miller, 1906;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Desmodontinae;443824;443596;443596;443824;ES;Diaemus youngii;(Jentink, 1893);Diaemus youngii (Jentink, 1893);<i>Diaemus youngii</i> (Jentink, 1893);Diaemus youngii (Jentink, 1893);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443824
Chiroptera;Phyllostomidae;Desmodontinae;443677;;;443824;ES;Desmodus youngii;(Jentink, 1893);Desmodus youngii (Jentink, 1893);<i>Desmodus youngii</i> (Jentink, 1893);Diaemus youngii (Jentink, 1893);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443677
Chiroptera;Phyllostomidae;Glossophaginae;655276;443486;443486;655276;SBFM;Glossophaginae;Bonaparte, 1845;Glossophaginae Bonaparte, 1845;Glossophaginae Bonaparte, 1845;Glossophaginae Bonaparte, 1845;;;;3;;P;P;P;P;P;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Glossophaginae;443597;655276;655276;443597;GN;Anoura;Gray, 1838;Anoura Gray, 1838;<i>Anoura</i> Gray, 1838;Anoura Gray, 1838;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Glossophaginae;655281;443597;443597;655281;ES;Anoura caudifer;(É. Geoffroy Saint-Hilaire, 1818);Anoura caudifer (É. Geoffroy Saint-Hilaire, 1818);<i>Anoura caudifer</i> (É. Geoffroy Saint-Hilaire, 1818);Anoura caudifer (É. Geoffroy Saint-Hilaire, 1818);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/655281
Chiroptera;Phyllostomidae;Glossophaginae;443678;;;655281;ES;Anoura caudifera;(É. Geoffroy Saint-Hilaire, 1818);Anoura caudifera (É. Geoffroy Saint-Hilaire, 1818);<i>Anoura caudifera</i> (É. Geoffroy Saint-Hilaire, 1818);Anoura caudifer (É. Geoffroy Saint-Hilaire, 1818);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443678
Chiroptera;Phyllostomidae;Glossophaginae;443679;443597;443597;443679;ES;Anoura geoffroyi;Gray, 1838;Anoura geoffroyi Gray, 1838;<i>Anoura geoffroyi</i> Gray, 1838;Anoura geoffroyi Gray, 1838;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443679
Chiroptera;Phyllostomidae;Glossophaginae;443598;655276;655276;443598;GN;Choeroniscus;Thomas, 1928;Choeroniscus Thomas, 1928;<i>Choeroniscus</i> Thomas, 1928;Choeroniscus Thomas, 1928;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Glossophaginae;655565;443598;443598;655565;ES;Choeroniscus godmani;Thomas, 1903;Choeroniscus godmani Thomas, 1903;<i>Choeroniscus godmani</i> Thomas, 1903;Choeroniscus godmani Thomas, 1903;;;FMd;3;;D;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/655565
Chiroptera;Phyllostomidae;Glossophaginae;459544;443598;443598;459544;ES;Choeroniscus minor;(Peters, 1868);Choeroniscus minor (Peters, 1868);<i>Choeroniscus minor</i> (Peters, 1868);Choeroniscus minor (Peters, 1868);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/459544
Chiroptera;Phyllostomidae;Glossophaginae;443680;;;459544;ES;Choeroniscus intermedius;(J.A. Allen & Chapman, 1893);Choeroniscus intermedius (J.A. Allen & Chapman, 1893);<i>Choeroniscus intermedius</i> (J.A. Allen & Chapman, 1893);Choeroniscus minor (Peters, 1868);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443680
Chiroptera;Phyllostomidae;Glossophaginae;443599;655276;655276;443599;GN;Glossophaga;É. Geoffroy Saint-Hilaire, 1818;Glossophaga É. Geoffroy Saint-Hilaire, 1818;<i>Glossophaga</i> É. Geoffroy Saint-Hilaire, 1818;Glossophaga É. Geoffroy Saint-Hilaire, 1818;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Glossophaginae;443681;443599;443599;443681;ES;Glossophaga soricina;(Pallas, 1766);Glossophaga soricina (Pallas, 1766);<i>Glossophaga soricina</i> (Pallas, 1766);Glossophaga soricina (Pallas, 1766);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443681
Chiroptera;Phyllostomidae;Glossophaginae;655283;;;443681;ES;Vespertilio soricinus;Pallas, 1766;Vespertilio soricinus Pallas, 1766;<i>Vespertilio soricinus</i> Pallas, 1766;Glossophaga soricina (Pallas, 1766);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/655283
Chiroptera;Phyllostomidae;Glossophaginae;443600;655276;655276;443600;GN;Lichonycteris;Thomas, 1895;Lichonycteris Thomas, 1895;<i>Lichonycteris</i> Thomas, 1895;Lichonycteris Thomas, 1895;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Glossophaginae;443682;443600;443600;443682;ES;Lichonycteris obscura;Thomas, 1895;Lichonycteris obscura Thomas, 1895;<i>Lichonycteris obscura</i> Thomas, 1895;Lichonycteris obscura Thomas, 1895;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443682
Chiroptera;Phyllostomidae;Glossophaginae;443601;655276;655276;443601;GN;Lionycteris;Thomas, 1913;Lionycteris Thomas, 1913;<i>Lionycteris</i> Thomas, 1913;Lionycteris Thomas, 1913;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Glossophaginae;443683;443601;443601;443683;ES;Lionycteris spurrelli;Thomas, 1913;Lionycteris spurrelli Thomas, 1913;<i>Lionycteris spurrelli</i> Thomas, 1913;Lionycteris spurrelli Thomas, 1913;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443683
Chiroptera;Phyllostomidae;Glossophaginae;443602;655276;655276;443602;GN;Lonchophylla;Thomas, 1903;Lonchophylla Thomas, 1903;<i>Lonchophylla</i> Thomas, 1903;Lonchophylla Thomas, 1903;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Glossophaginae;443684;443602;443602;443684;ES;Lonchophylla thomasi;J.A. Allen, 1904;Lonchophylla thomasi J.A. Allen, 1904;<i>Lonchophylla thomasi</i> J.A. Allen, 1904;Lonchophylla thomasi J.A. Allen, 1904;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443684
Chiroptera;Phyllostomidae;Glossophaginae;533122;655276;655276;533122;GN;Monophyllus;Leach, 1821;Monophyllus Leach, 1821;<i>Monophyllus</i> Leach, 1821;Monophyllus Leach, 1821;;;;;;;P;P;P;P;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Glossophaginae;533123;533122;533122;533123;ES;Monophyllus plethodon;Miller, 1900;Monophyllus plethodon Miller, 1900;<i>Monophyllus plethodon</i> Miller, 1900;Monophyllus plethodon Miller, 1900;Monophylle des Petites Antilles, Fer de lance de la Barbade;;FMd;3;;;S;S;S;S;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/533123
Chiroptera;Phyllostomidae;Glossophaginae;536082;533123;533123;536082;SSES;Monophyllus plethodon luciae;Miller, 1902;Monophyllus plethodon luciae Miller, 1902;<i>Monophyllus plethodon luciae</i> Miller, 1902;Monophyllus plethodon luciae Miller, 1902;Fer de lance de la Barbade, Monophylle des Petites Antilles;Insular Long-tongued Bat, Lesser Antillean Long-tongued Bat;;3;;;S;S;S;S;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/536082
Chiroptera;Phyllostomidae;;701748;443486;443486;701748;GN;Macrotus;Gray, 1843;Macrotus Gray, 1843;<i>Macrotus</i> Gray, 1843;Macrotus Gray, 1843;;;;3;;;;;W;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;;701749;701748;701748;701749;ES;Macrotus waterhousii;Gray, 1843;Macrotus waterhousii Gray, 1843;<i>Macrotus waterhousii</i> Gray, 1843;Macrotus waterhousii Gray, 1843;;;FMd;3;;;;;W;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/701749
Chiroptera;Phyllostomidae;Phyllostominae;655278;443486;443486;655278;SBFM;Phyllostominae;Gray, 1825;Phyllostominae Gray, 1825;Phyllostominae Gray, 1825;Phyllostominae Gray, 1825;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Phyllostominae;443603;655278;655278;443603;GN;Chrotopterus;W. Peters, 1865;Chrotopterus W. Peters, 1865;<i>Chrotopterus</i> W. Peters, 1865;Chrotopterus W. Peters, 1865;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Phyllostominae;443685;443603;443603;443685;ES;Chrotopterus auritus;(W. Peters, 1856);Chrotopterus auritus (W. Peters, 1856);<i>Chrotopterus auritus</i> (W. Peters, 1856);Chrotopterus auritus (W. Peters, 1856);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443685
Chiroptera;Phyllostomidae;Phyllostominae;655284;655278;655278;655284;GN;Glyphonycteris;Thomas, 1896;Glyphonycteris Thomas, 1896;<i>Glyphonycteris</i> Thomas, 1896;Glyphonycteris Thomas, 1896;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Phyllostominae;459549;655284;655284;459549;ES;Glyphonycteris daviesi;(Hill, 1964);Glyphonycteris daviesi (Hill, 1964);<i>Glyphonycteris daviesi</i> (Hill, 1964);Glyphonycteris daviesi (Hill, 1964);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/459549
Chiroptera;Phyllostomidae;Phyllostominae;443689;;;459549;ES;Micronycteris daviesi;(Hill, 1964);Micronycteris daviesi (Hill, 1964);<i>Micronycteris daviesi</i> (Hill, 1964);Glyphonycteris daviesi (Hill, 1964);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443689
Chiroptera;Phyllostomidae;Phyllostominae;459550;655284;655284;459550;ES;Glyphonycteris sylvestris;(Thomas, 1896);Glyphonycteris sylvestris (Thomas, 1896);<i>Glyphonycteris sylvestris</i> (Thomas, 1896);Glyphonycteris sylvestris (Thomas, 1896);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/459550
Chiroptera;Phyllostomidae;Phyllostominae;443695;;;459550;ES;Micronycteris sylvestris;(Thomas, 1896);Micronycteris sylvestris (Thomas, 1896);<i>Micronycteris sylvestris</i> (Thomas, 1896);Glyphonycteris sylvestris (Thomas, 1896);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443695
Chiroptera;Phyllostomidae;Phyllostominae;655285;655278;655278;655285;GN;Lampronycteris;Sanborn, 1949;Lampronycteris Sanborn, 1949;<i>Lampronycteris</i> Sanborn, 1949;Lampronycteris Sanborn, 1949;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Phyllostominae;459555;655285;655285;459555;ES;Lampronycteris brachyotis;(Dobson, 1879);Lampronycteris brachyotis (Dobson, 1879);<i>Lampronycteris brachyotis</i> (Dobson, 1879);Lampronycteris brachyotis (Dobson, 1879);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/459555
Chiroptera;Phyllostomidae;Phyllostominae;443688;;;459555;ES;Micronycteris brachyotis;(Dobson, 1879);Micronycteris brachyotis (Dobson, 1879);<i>Micronycteris brachyotis</i> (Dobson, 1879);Lampronycteris brachyotis (Dobson, 1879);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443688
Chiroptera;Phyllostomidae;Phyllostominae;443604;655278;655278;443604;GN;Lonchorhina;Tomes, 1863;Lonchorhina Tomes, 1863;<i>Lonchorhina</i> Tomes, 1863;Lonchorhina Tomes, 1863;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Phyllostominae;655566;443604;443604;655566;ES;Lonchorhina aurita;Tomes, 1863;Lonchorhina aurita Tomes, 1863;<i>Lonchorhina aurita</i> Tomes, 1863;Lonchorhina aurita Tomes, 1863;;;QCF-FMd;3;;D;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/655566
Chiroptera;Phyllostomidae;Phyllostominae;528746;443604;443604;528746;ES;Lonchorhina inusitata;Handley & Ochoa, 1997;Lonchorhina inusitata Handley & Ochoa, 1997;<i>Lonchorhina inusitata</i> Handley & Ochoa, 1997;Lonchorhina inusitata Handley & Ochoa, 1997;;;QCF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/528746
Chiroptera;Phyllostomidae;Phyllostominae;443686;;;528746;ES;Lonchorhina marinkellei;auct. non Hernandez-Camacho & Cadenas, 1978;Lonchorhina marinkellei auct. non Hernandez-Camacho & Cadenas, 1978;<i>Lonchorhina marinkellei</i> auct. non Hernandez-Camacho & Cadenas, 1978;Lonchorhina inusitata Handley & Ochoa, 1997;;;QCF-FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443686
Chiroptera;Phyllostomidae;Phyllostominae;655287;655278;655278;655287;GN;Lophostoma;d’Orbigny, 1836;Lophostoma d’Orbigny, 1836;<i>Lophostoma</i> d’Orbigny, 1836;Lophostoma d’Orbigny, 1836;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Phyllostominae;459556;655287;655287;459556;ES;Lophostoma brasiliense;(Peters, 1866);Lophostoma brasiliense (Peters, 1866);<i>Lophostoma brasiliense</i> (Peters, 1866);Lophostoma brasiliense (Peters, 1866);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/459556
Chiroptera;Phyllostomidae;Phyllostominae;443704;;;459556;ES;Tonatia brasiliense;(Peters, 1866);Tonatia brasiliense (Peters, 1866);<i>Tonatia brasiliense</i> (Peters, 1866);Lophostoma brasiliense (Peters, 1866);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443704
Chiroptera;Phyllostomidae;Phyllostominae;459557;655287;655287;459557;ES;Lophostoma carrikeri;(J.A. Allen, 1910);Lophostoma carrikeri (J.A. Allen, 1910);<i>Lophostoma carrikeri</i> (J.A. Allen, 1910);Lophostoma carrikeri (J.A. Allen, 1910);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/459557
Chiroptera;Phyllostomidae;Phyllostominae;443705;;;459557;ES;Tonatia carrikeri;(J.A. Allen, 1910);Tonatia carrikeri (J.A. Allen, 1910);<i>Tonatia carrikeri</i> (J.A. Allen, 1910);Lophostoma carrikeri (J.A. Allen, 1910);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443705
Chiroptera;Phyllostomidae;Phyllostominae;459558;655287;655287;459558;ES;Lophostoma schulzi;(Genoways & Williams, 1980);Lophostoma schulzi (Genoways & Williams, 1980);<i>Lophostoma schulzi</i> (Genoways & Williams, 1980);Lophostoma schulzi (Genoways & Williams, 1980);;;FMd;3;A;S;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;https://inpn.mnhn.fr/espece/cd_nom/459558
Chiroptera;Phyllostomidae;Phyllostominae;443707;;;459558;ES;Tonatia schulzi;Genoway & Williams, 1980;Tonatia schulzi Genoway & Williams, 1980;<i>Tonatia schulzi</i> Genoway & Williams, 1980;Lophostoma schulzi (Genoways & Williams, 1980);;;FMd;3;A;S;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;https://inpn.mnhn.fr/espece/cd_nom/443707
Chiroptera;Phyllostomidae;Phyllostominae;459559;655287;655287;459559;ES;Lophostoma silvicolum;d'Orbigny, 1836;Lophostoma silvicolum d'Orbigny, 1836;<i>Lophostoma silvicolum</i> d'Orbigny, 1836;Lophostoma silvicolum d'Orbigny, 1836;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/459559
Chiroptera;Phyllostomidae;Phyllostominae;443708;;;459559;ES;Tonatia silvicola;(d'Orbigny, 1836);Tonatia silvicola (d'Orbigny, 1836);<i>Tonatia silvicola</i> (d'Orbigny, 1836);Lophostoma silvicolum d'Orbigny, 1836;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443708
Chiroptera;Phyllostomidae;Phyllostominae;443605;655278;655278;443605;GN;Macrophyllum;Gray, 1838;Macrophyllum Gray, 1838;<i>Macrophyllum</i> Gray, 1838;Macrophyllum Gray, 1838;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Phyllostominae;443687;443605;443605;443687;ES;Macrophyllum macrophyllum;(Schinz, 1821);Macrophyllum macrophyllum (Schinz, 1821);<i>Macrophyllum macrophyllum</i> (Schinz, 1821);Macrophyllum macrophyllum (Schinz, 1821);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443687
Chiroptera;Phyllostomidae;Phyllostominae;443606;655278;655278;443606;GN;Micronycteris;Gray, 1866;Micronycteris Gray, 1866;<i>Micronycteris</i> Gray, 1866;Micronycteris Gray, 1866;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Phyllostominae;521601;443606;443606;521601;ES;Micronycteris brosseti;Simmons & Voss, 1998;Micronycteris brosseti Simmons & Voss, 1998;<i>Micronycteris brosseti</i> Simmons & Voss, 1998;Micronycteris brosseti Simmons & Voss, 1998;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/521601
Chiroptera;Phyllostomidae;Phyllostominae;443690;443606;443606;443690;ES;Micronycteris hirsuta;(Peters, 1869);Micronycteris hirsuta (Peters, 1869);<i>Micronycteris hirsuta</i> (Peters, 1869);Micronycteris hirsuta (Peters, 1869);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443690
Chiroptera;Phyllostomidae;Phyllostominae;443691;443606;443606;443691;ES;Micronycteris megalotis;(Gray, 1842);Micronycteris megalotis (Gray, 1842);<i>Micronycteris megalotis</i> (Gray, 1842);Micronycteris megalotis (Gray, 1842);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443691
Chiroptera;Phyllostomidae;Phyllostominae;443825;443606;443606;443825;ES;Micronycteris microtis;Miller, 1898;Micronycteris microtis Miller, 1898;<i>Micronycteris microtis</i> Miller, 1898;Micronycteris microtis Miller, 1898;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443825
Chiroptera;Phyllostomidae;Phyllostominae;443692;443606;443606;443692;ES;Micronycteris minuta;(Gervais, 1856);Micronycteris minuta (Gervais, 1856);<i>Micronycteris minuta</i> (Gervais, 1856);Micronycteris minuta (Gervais, 1856);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443692
Chiroptera;Phyllostomidae;Phyllostominae;521602;;;443692;ES;Micronycteris homezi;Pirlot, 1967;Micronycteris homezi Pirlot, 1967;<i>Micronycteris homezi</i> Pirlot, 1967;Micronycteris minuta (Gervais, 1856);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/521602
Chiroptera;Phyllostomidae;Phyllostominae;443694;443606;443606;443694;ES;Micronycteris schmidtorum;Sanborn, 1935;Micronycteris schmidtorum Sanborn, 1935;<i>Micronycteris schmidtorum</i> Sanborn, 1935;Micronycteris schmidtorum Sanborn, 1935;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443694
Chiroptera;Phyllostomidae;Phyllostominae;443607;655278;655278;443607;GN;Mimon;Gray, 1847;Mimon Gray, 1847;<i>Mimon</i> Gray, 1847;Mimon Gray, 1847;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Phyllostominae;443696;443607;443607;443696;ES;Mimon bennettii;(Gray, 1838);Mimon bennettii (Gray, 1838);<i>Mimon bennettii</i> (Gray, 1838);Mimon bennettii (Gray, 1838);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443696
Chiroptera;Phyllostomidae;Phyllostominae;443697;;;655289;ES;Mimon crenulatum;(É. Geoffroy Saint-Hilaire, 1810);Mimon crenulatum (É. Geoffroy Saint-Hilaire, 1810);<i>Mimon crenulatum</i> (É. Geoffroy Saint-Hilaire, 1810);Mimon crenulatum (É. Geoffroy Saint-Hilaire, 1803);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443697
Chiroptera;Phyllostomidae;Phyllostominae;443608;655278;655278;443608;GN;Phylloderma;Peters, 1865;Phylloderma Peters, 1865;<i>Phylloderma</i> Peters, 1865;Phylloderma Peters, 1865;;;;3;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Phyllostominae;443698;443608;443608;443698;ES;Phylloderma stenops;Peters, 1865;Phylloderma stenops Peters, 1865;<i>Phylloderma stenops</i> Peters, 1865;Phylloderma stenops Peters, 1865;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443698
Chiroptera;Phyllostomidae;Phyllostominae;443609;655278;655278;443609;GN;Phyllostomus;Lacépède, 1799;Phyllostomus Lacépède, 1799;<i>Phyllostomus</i> Lacépède, 1799;Phyllostomus Lacépède, 1799;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Phyllostominae;443699;443609;443609;443699;ES;Phyllostomus discolor;Wagner, 1843;Phyllostomus discolor Wagner, 1843;<i>Phyllostomus discolor</i> Wagner, 1843;Phyllostomus discolor Wagner, 1843;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443699
Chiroptera;Phyllostomidae;Phyllostominae;443700;443609;443609;443700;ES;Phyllostomus elongatus;(É. Geoffroy Saint-Hilaire, 1810);Phyllostomus elongatus (É. Geoffroy Saint-Hilaire, 1810);<i>Phyllostomus elongatus</i> (É. Geoffroy Saint-Hilaire, 1810);Phyllostomus elongatus (É. Geoffroy Saint-Hilaire, 1810);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443700
Chiroptera;Phyllostomidae;Phyllostominae;443701;443609;443609;443701;ES;Phyllostomus hastatus;(Pallas, 1767);Phyllostomus hastatus (Pallas, 1767);<i>Phyllostomus hastatus</i> (Pallas, 1767);Phyllostomus hastatus (Pallas, 1767);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443701
Chiroptera;Phyllostomidae;Phyllostominae;443702;443609;443609;443702;ES;Phyllostomus latifolius;(Thomas, 1901);Phyllostomus latifolius (Thomas, 1901);<i>Phyllostomus latifolius</i> (Thomas, 1901);Phyllostomus latifolius (Thomas, 1901);;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443702
Chiroptera;Phyllostomidae;Phyllostominae;443610;655278;655278;443610;GN;Tonatia;Gray, 1847;Tonatia Gray, 1847;<i>Tonatia</i> Gray, 1847;Tonatia Gray, 1847;;;;;;P;;;;;;;;;;;;;;;;
Chiroptera;Phyllostomidae;Phyllostominae;443706;443610;443610;443706;ES;Tonatia saurophila;Koopman & Williams, 1951;Tonatia saurophila Koopman & Williams, 1951;<i>Tonatia saurophila</i> Koopman & Williams, 1951;Tonatia saurophila Koopman & Williams, 1951;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443706
Chiroptera;Phyllostomidae;Phyllostominae;443703;;;443706;ES;Tonatia bidens;auct. non (Spix, 1828);Tonatia bidens auct. non (Spix, 1828);<i>Tonatia bidens</i> auct. non (Spix, 1828);Tonatia saurophila Koopman & Williams, 1951;;;FMd;3;;P;;;;;;;;;;;;;;;;https://inpn.mnhn.fr/espece/cd_nom/443703
Chiroptera;Phyllostomidae;Phyllostominae;443611;655278;655278;443611;GN;Trachops;Gray, 1847;Trachops Gray, 1847;<i>Trachops</i> Gray, 1847;Trachops Gray, 1847;;;;;;P;;;;;;;;;;;;;;;;
