Esp;Nesp;Nesp2;France;Turquie;Espagne;Norfolk;Scientific name;Group;NomFR;GroupFR
Bicbic;Bicbic;Metbra;x;;x;;Bicolorana bicolor;bush-cricket;Decticelle bicolore;Chauve-souris
bird;bird;bird;;;;x;bird;bird;Oiseau sp.;Chauve-souris
Bostau;Bostau;Bostau;x;;;x;Bos taurus;other-mammal;Butor étoilé;Chauve-souris
Bracan;piaf;piaf;x;;;x;Branta canadensis;bird;Bernache du Canada;Chauve-souris
Bracav;Bracav;Bracav;;;;;Brachyphylla cavernarum;bat;Brachyphylle des cavernes;Chauve-souris
Buroed;piaf;piaf;x;;;x;Burhinus oedicnemus;bird;Oedicnème criard;Chauve-souris
bush-cricket;bush-cricket;bush-cricket;;;;;;bush-cricket;;Chauve-souris
Butbut;piaf;piaf;x;;;x;Buteo buteo;bird;Buse variable;Chauve-souris
buzz;buzz;buzz;;;;;;buzz;;Chauve-souris
Calbai;piaf;piaf;x;x;;x;Calidris bairdii;bird;Bécasseau de Baird;Chauve-souris
Calcan;piaf;piaf;x;x;x;x;Calidris canutus;bird;Bécasseau maubèche;Chauve-souris
Calfus;piaf;piaf;x;x;;x;Calidris fuscicollis;bird;Bécasseau de Bonaparte;Chauve-souris
Calhim;piaf;piaf;x;x;x;x;Calidris himantopus;bird;Bécasseau à échasses;Chauve-souris
Calmar;piaf;piaf;x;x;;x;Calidris mauri;bird;Bécasseau violet;Chauve-souris
Calmau;piaf;piaf;x;x;;x;Calidris mauri;bird;Bécasseau d'Alaska;Chauve-souris
Canfam;mamm;mamm;x;x;x;x;Canis lupus familiaris;other-mammal;Chien;Chauve-souris
Cansp.;Cansp.;Cansp.;x;;;x;Lampyris sp.;beetle;Lampyre sp.;Chauve-souris
Capcap;Capcap;Capcap;x;;;x;Capreolus capreolus;other-mammal;Chevreuil;Chauve-souris
Capeur;piaf;piaf;x;;;x;Caprimulgus europaeus;bird;Engoulevent d'Europe;Chauve-souris
Cappyr;Cappyr;Cappyr;x;;;;Capra pyrenaica;other-mammal;Bouquetin d'Espagne;Chauve-souris
car;noise;noise;x;x;x;x;vehicle;noise;véhicule;Chauve-souris
Carbre;Carbre;Carbre;;;;;Carollia brevicauda;bat;;Chauve-souris
Carcar;piaf;piaf;x;x;x;x;Carduelis carduelis;bird;Chardonneret élégant;Chauve-souris
Carper;Carper;Carper;;;;;Carollia perspicillata;bat;;Chauve-souris
Carsow;Carsow;Carsow;;;;;Carollia sowelli;bat;;Chauve-souris
Cenmax;Cenmax;Cenmax;;;;;Centronycteris maximiliani;bat;;Chauve-souris
Cerbra;piaf;piaf;x;x;x;;Certhia brachydactyla;bird;Grimpereau des jardins;Chauve-souris
Cerela;Cerela;Cerela;x;;;x;Cervus elaphus;other-mammal;Cerf élaphe;Chauve-souris
Cetcet;piaf;piaf;x;x;x;x;Cettia cettia;bird;Bouscarle de Cetti;Chauve-souris
CF-FMd;CF-FMd;CF-FMd;;;;;;bat;;Chauve-souris
CF-FMd-CF;CF-FMd-CF;CF-FMd-CF;;;;;;bat;;Chauve-souris
Chaans;Chaans;Chaans;;;;;Chaerephon ansorgei;bat;Chaerephon ansorgei;Chauve-souris
Chacha;Chacha;Chacha;;;;;Chaerephon chapini;bat;Chaerephon chapini;Chauve-souris
Chahia;piaf;piaf;x;;;x;Charadrius hiaticula;bird;Grand Gravelot;Chauve-souris
Chaleu;Chaleu;Chaleu;;;;;Chaerephon leucogaster;bat;;Chauve-souris
Chamaj;Chamaj;Chamaj;;;;;Chaerephon major;bat;Chaerephon major;Chauve-souris
Chaneo;Chaneo;Chaneo;;;;;Chalinolobus neocaledonicus;bat;Chalinolobe nÃ©o-calÃ©donien;Chauve-souris
Chanig;Chanig;Chanig;;;;;Chaerephon nigeriae;bat;Chaerephon nigeriae;Chauve-souris
Chapum;Chapum;Chapum;;;;;Chaerephon pumilus;bat;Chaerephon pumilus;Chauve-souris
Chapus;Chapus;Chapus;;;;;Chaerephon pusillus;bat;Tadaride;Chauve-souris
Chiimp;Chiimp;Chiimp;;;;;Chiroderma improvisum;bat;Chiroderme de la Guadeloupe;Chauve-souris
Chioniv;Chioniv;Chioniv;x;x;x;;Chionomys nivalis;other-mammal;Campagnol des neiges;Chauve-souris
chirp;chirp;noise;x;;;;chirp;noise;chirp;Chauve-souris
Chirub;Chirub;Chirub;;;;;Chilonycteris rubiginosus;bat;;Chauve-souris
Chitri;Chitri;Chitri;;;;;Chiroderma trinitatum;bat;;Chauve-souris
Chivil;Chivil;Chivil;;;;;Chiroderma villosum;bat;;Chauve-souris
Chlchl;piaf;piaf;x;x;x;x;Chloris chloris;bird;Verdier d'Europe;Chauve-souris
Chlhyb;piaf;piaf;x;;;;Chlidonias hybridus;bird;Guifette moustac;Chauve-souris
Chobru;criq;criq;x;;;x;Chorthippus brunneus;grasshopper;Criquet duettiste;Chauve-souris
Chogod;Chogod;Chogod;;;;;Choeroniscus godmani;bat;;Chauve-souris
Choint;Choint;Choint;;;;;Choeroniscus intermedius;bat;;Chauve-souris
Chomin;Chomin;Chomin;;;;;Choeroniscus minor;bat;;Chauve-souris
Chovag;criq;criq;x;x;x;;Chorthippus vagans;grasshopper;Criquet des pins;Chauve-souris
Chraur;Chraur;Chraur;;;;;Chrotopterus auritus;bat;;Chauve-souris
