Esp;Nesp;Nesp2;France;Turquie;Espagne;Norfolk;Scientific name;Group;NomFR;GroupFR
Larmic;piaf;piaf;x;;;;Larus michahellis;bird;Goéland leucophée;Chauve-souris
Lasatr;Lasatr;Lasatr;;;;;Lasiurus atratus;bat;;Chauve-souris
Lasblo;Lasblo;Lasblo;;;;;Lasiurus blossevillii;bat;;Chauve-souris
Lasbor;Lasbor;Lasbor;;;;;Lasiurus borealis;bat;;Chauve-souris
Lascas;Lascas;Lascas;;;;;Lasiurus castaneus;bat;;Chauve-souris
Lasega;Lasega;Lasega;;;;;Lasiurus ega;bat;;Chauve-souris
Lasegr;Lasegr;Lasegr;;;;;Lasiurus egregius;bat;;Chauve-souris
Lasnoc;Lasnoc;Lasnoc;;;;;Lasionycteris noctivagans;bat;Chauve-souris argentÃ©e;Chauve-souris
Lepalb;Lepalb;Lepalb;x;x;;;Leptophyes albovittata;bush-cricket;Sauterelle rayee;Chauve-souris
Lepbos;Lepbos;Lepbos;x;;;;Leptophyes boscii;bush-cricket;Sauterelle sarmate;Chauve-souris
Leplat;Leplat;Leplat;x;;;;Leptophyes laticauda;bush-cricket;Sauterelle provençale;Chauve-souris
Leppun;Leppun;Leppun;x;;x;x;Leptophyes punctatissima;bush-cricket;Sauterelle ponctuee;Chauve-souris
Licobs;Licobs;Licobs;;;;;Lichonycteris obscura;bat;;Chauve-souris
Limgri;piaf;piaf;x;x;;x;Limnodromus griseus;bird;Limnodrome à bec court;Chauve-souris
Limlap;piaf;piaf;x;x;x;x;Limosa lapponica;bird;Barge rousse;Chauve-souris
Lincan;piaf;piaf;x;;;x;Linaria cannabina;bird;Linotte mélodieuse;Chauve-souris
Liospu;Liospu;Liospu;;;;;Lionycteris spurrelli;bat;;Chauve-souris
Llusta;Llusta;Llusta;;;x;;Lluciapomaresius stalii;bush-cricket;Ephippigere de Stal;Chauve-souris
Loclus;piaf;piaf;x;;;x;Locustella luscinoides;bird;Locustelle luscino‹de;Chauve-souris
Locnae;piaf;piaf;x;;;x;Locustella naevia;bird;Locustelle tachetée;Chauve-souris
Lonaur;Lonaur;Lonaur;;;;;Lonchorhina aurita;bat;;Chauve-souris
Loninu;Loninu;Loninu;;;;;Lonchorhina inusitata;bat;;Chauve-souris
Lonmar;Lonmar;Lonmar;;;;;Lonchorhina marinkellei;bat;;Chauve-souris
Lontho;Lontho;Lontho;;;;;Lonchophylla thomasi;bat;;Chauve-souris
Lopbra;Lopbra;Lopbra;;;;;Lophostoma brasiliense;bat;;Chauve-souris
Lopcar;Lopcar;Lopcar;;;;;Lophostoma carrikeri;bat;;Chauve-souris
Lopcri;piaf;piaf;x;x;x;;Lophophanes cristatus;bird;Mésange huppée;Chauve-souris
Lopsch;Lopsch;Lopsch;;;;;Lophostoma schulzi;bat;;Chauve-souris
Lopsil;Lopsil;Lopsil;;;;;Lophostoma silvicolum;bat;;Chauve-souris
Loxcur;piaf;piaf;x;;;x;Loxia curvirostra;bird;Beccroisé des sapins;Chauve-souris
Lularb;piaf;piaf;x;;;x;Lullula arborea;bird;Alouette lulu;Chauve-souris
Lusmeg;piaf;piaf;x;x;x;x;Luscinia megarhynchos;bird;Rossignol philomèle;Chauve-souris
Lyrple;Lyrple;cigale;x;x;x;;Lyristes plebejus;cicada;Cigale commune;Chauve-souris
Macmac;Macmac;Macmac;;;;;Macrophyllum macrophyllum;bat;;Chauve-souris
Macwat;Macwat;Macwat;;;;;Macrotus waterhousii;bat;;Chauve-souris
mamm;mamm;mamm;x;x;x;x;Mammalia sp.;other-mammal;Mammifere sp.;Chauve-souris
Marfoi;Marfoi;Marfoi;x;;;;Martes foina;other-mammal;Fouine;Chauve-souris
Marmar;Marmar;Marmar;x;x;x;;Martes martes;other-mammal;Martre;Chauve-souris
mec;noise;noise;x;x;x;x;mechanical noise;noise;autre bruit;Chauve-souris
Merapi;piaf;piaf;x;;;;Merops apiaster;bird;Guêpier;Chauve-souris
Mesmac;Mesmac;Mesmac;;;;;Mesophylla macconnelli;bat;;Chauve-souris
Metbra;Metbra;Metbra;x;;;x;Metrioptera brachyptera;bush-cricket;Decticelle des bruyeres;Chauve-souris
Metpul;Metpul;Metpul;x;;;;Metaplastes pulchripennis;bush-cricket;Barbitiste corse;Chauve-souris
Metsau;Metbra;Metbra;x;x;x;;Metrioptera saussuriana;bush-cricket;Decticelle des alpages;Chauve-souris
Micagr;Micagr;Micagr;x;x;x;x;Microtus agrestis;other-mammal;Campagnol agreste;Chauve-souris
Micarv;Micagr;Micagr;x;;x;;Microtus arvalis;other-mammal;Campagnol des champs;Chauve-souris
Micbra;Micbra;Micbra;;;;;Micronycteris brachyotis;bat;;Chauve-souris
Micbro;Micbro;Micbro;;;;;Micronycteris brosseti;bat;;Chauve-souris
Micdav;Micdav;Micdav;;;;;Micronycteris daviesi;bat;;Chauve-souris
Micduo;Micagr;Micagr;x;;x;;Microtus duodecimcostatus;other-mammal;Campagnol provençal;Chauve-souris
Micger;Micagr;Micagr;x;;x;;Microtus gerbei;other-mammal;Campagnol des Pyrénées;Chauve-souris
Michir;Michir;Michir;;;;;Micronycteris hirsuta;bat;;Chauve-souris
Michom;Michom;Michom;;;;;Micronycteris homezi;bat;;Chauve-souris
Miclus;Micagr;Micagr;x;;x;;Microtus lusitanicus;other-mammal;Campagnol basque;Chauve-souris
Micmeg;Micmeg;Micmeg;;;;;Micronycteris megalotis;bat;;Chauve-souris
Micmic;Micmic;Micmic;;;;;Micronycteris microtis;bat;;Chauve-souris
Micmin;Micmin;Micmin;;;;;Micronycteris minuta;bat;;Chauve-souris
Micmul;Micagr;Micagr;x;;;;Microtus multiplex;other-mammal;Campagnol de Fatio;Chauve-souris
Micnic;Micnic;Micnic;;;;;Micronycteris nicefori;bat;TrinyctÃ¨re de NicÃ©foro;Chauve-souris
Micsav;Micagr;Micagr;x;;;;Microtus savii;other-mammal;Campagnol de Savi;Chauve-souris
Micsch;Micsch;Micsch;;;;;Micronycteris schmidtorum;bat;;Chauve-souris
Micsub;Micagr;Micagr;x;;;;Microtus subterraneus;other-mammal;Campagnol de Savi;Chauve-souris
Micsyl;Micsyl;Micsyl;;;;;Micronycteris sylvestris;bat;;Chauve-souris
Mimasp;Mimasp;Mimasp;x;;;x;Small mammal spp;other-mammal;Micromammifère sp.;Chauve-souris
Mimben;Mimben;Mimben;;;;;Mimon bennettii;bat;;Chauve-souris
Mimcre;Mimcre;Mimcre;;;;;Mimon crenulatum;bat;;Chauve-souris
Mimmol;Mimmol;Mimmol;;;;;Mimetillus moloneyi;bat;Mimetillus moloneyi;Chauve-souris
Minaus;Minaus;Minaus;;;;;Miniopterus australis;bat;MinioptÃ¨re australasien;Chauve-souris
Minine;Minine;Minine;;;;;Minopterus inexpectatus;bat;MinioptÃ¨re de Schreibers;Chauve-souris
Minita;Minita;Minita;;;;;Miniopterus italicus;bat;MinioptÃ¨re de Schreibers;Chauve-souris
Minmac;Minmac;Minmac;;;;;Miniopterus macrocneme;bat;MinioptÃ¨re de MÃ©lanÃ©sie;Chauve-souris
Minoce;Minoce;Minoce;;;;;Miniopterus oceanensis;bat;MinioptÃ¨re de Schreibers;Chauve-souris
Minore;Minore;Minore;;;;;Miniopterus oreinii;bat;MinioptÃ¨re de Schreibers;Chauve-souris
Minrob;Minrob;Minrob;;;;;Miniopterus robustior;bat;MinioptÃ¨re des ÃŽles LoyautÃ©s;Chauve-souris
Minsch;Minsch;Minsch;x;x;x;;Miniopterus schreibersii;bat;MinioptÃ¨re de Schreibers;Chauve-souris
Minurs;Minurs;Minurs;;;;;Miniopterus ursinii;bat;MinioptÃ¨re de Schreibers;Chauve-souris
mixed;mixed;mixed;;;;x;mixed;noise;mix;Chauve-souris
Mmasp1;mamm;mamm;x;x;x;x;micromammals sp.1;other-mammal;Micromammifère type 1;Chauve-souris
Mmasp2;mamm;mamm;x;x;x;x;micromammals sp.2;other-mammal;Micromammifère type 2;Chauve-souris
Mmasp3;mamm;mamm;x;x;x;x;micromammals sp.3;other-mammal;Micromammifère type 3;Chauve-souris
Mmasp4;mamm;mamm;x;x;x;x;micromammals sp.4;other-mammal;Micromammifère type 4;Chauve-souris
MmaTu1;mamm;mamm;x;x;x;;micromammals sp. from Turkey 1;other-mammal;Micromammifère de Turquie type 1;Chauve-souris
Molabr;Molabr;Molabr;;;;;Molossops abrasus;bat;;Chauve-souris
Molate;Molate;Molate;;;;;Molossus ater;bat;;Chauve-souris
Molbar;Molbar;Molbar;;;;;Molossus barnesi;bat;;Chauve-souris
Molcoi;Molcoi;Molcoi;;;;;Molossus coibensis;bat;;Chauve-souris
Moldsp;Moldsp;Moldsp;;;;;Molossidae sp.;bat;Molossidae sp.;Chauve-souris
Molgre;Molgre;Molgre;;;;;Molossops greenhalli;bat;;Chauve-souris
Molmil;Molmil;Molmil;;;;;Molossops milleri;bat;;Chauve-souris
Molmol;Molmol;Molmol;;;;;Molossus molossus;bat;Molosse commun;Chauve-souris
Molneg;Molneg;Molneg;;;;;Molossops neglectus;bat;;Chauve-souris
Molpar;Molpar;Molpar;;;;;Molossops paranus;bat;;Chauve-souris
Molpla;Molpla;Molpla;;;;;Molossops planirostris;bat;;Chauve-souris
Molruf;Molruf;Molruf;;;;;Molossus rufus;bat;;Chauve-souris
Molsin;Molsin;Molsin;;;;;Molossus sinaloae;bat;;Chauve-souris
Moltem;Moltem;Moltem;;;;;Molossops temminckii;bat;;Chauve-souris
Moltri;Moltri;Moltri;;;;;Molossus trinitatus;bat;;Chauve-souris
Monple;Monple;Monple;;;;;Monophyllus plethodon;bat;Monophylle des Petites Antilles;Chauve-souris
Mopcon;Mopcon;Mopcon;;;;;Mops condylurus;bat;Mops condylurus;Chauve-souris
Morace;Morace;Morace;;;;;Mormopterus acetabulosus;bat;Tadaride de la RÃ©union;Chauve-souris
Morfra;Morfra;Morfra;;;;;Mormopterus francoismoutoui;bat;Tadaride de la RÃ©union;Chauve-souris
Mormeg;Mormeg;Mormeg;;;;;Mormoops megalophylla;bat;;Chauve-souris
Motalb;piaf;piaf;x;;;x;Motacilla alba;bird;Bergeronnette grise;Chauve-souris
Motcin;piaf;piaf;x;x;x;x;Motacilla cinerea;bird;Bergeronnette des ruisseaux;Chauve-souris
Motfla;piaf;piaf;x;x;x;x;Motacilla flava;bird;Bergeronnette printanière;Chauve-souris
moth;moth;moth;;;;;;moth;;Chauve-souris
Multi-FMd;Multi-FMd;Multi-FMd;;;;;;bat;;Chauve-souris
Munree;Munree;Munree;;;;x;Muntiacus reevesi;other-mammal;Muntjac;Chauve-souris
Muserm;Muserm;Muserm;x;;x;x;Mustela erminea;other-mammal;Hermine;Chauve-souris
Muslut;Muslut;Muslut;x;;x;;Mustela lutreola;other-mammal;Vison d'Europe;Chauve-souris
Musniv;Musniv;Musniv;x;x;x;x;Mustela nivalis;other-mammal;Belette;Chauve-souris
Musput;Musput;Musput;x;;x;;Mustela putorius;other-mammal;Putois d'Europe;Chauve-souris
Mussp;Mussp;Mussp;x;x;x;x;Soricidae sp.;other-mammal;Musaraigne sp.;Chauve-souris
Musstr;piaf;piaf;x;;;x;Muscicapa striata;bird;Gobemouche gris;Chauve-souris
Musvis;Musvis;Musvis;x;;x;x;Mustela vison;other-mammal;Vison d'Amerique;Chauve-souris
Myoaed;Myoaed;Myoaed;;;;;Myotis aedilus;bat;Murin de Daubenton;Chauve-souris
Myoalb;Myoalb;Myoalb;;;;;Myotis albescens;bat;;Chauve-souris
Myoalc;Myoalc;Myoalc;x;x;x;x;Myotis alcathoe;bat;Murin d'Alcathoe;Chauve-souris
Myoalp;Myoalp;Myoalp;;;;;Myotis alpinus;bat;Grand Murin;Chauve-souris
Myobec;Myobec;Myobec;x;x;x;x;Myotis bechsteinii;bat;Murin de Bechstein;Chauve-souris
Myobla;Myobla;Myobla;;;;;Myotis blasii;bat;Murin de Capaccini;Chauve-souris
Myobly;MyoGT;MyoGT;x;x;x;;Myotis blythii;bat;Petit Murin;Chauve-souris
Myoboc;Myoboc;Myoboc;;;;;Myotis bocagii;bat;Myotis bocagii;Chauve-souris
Myobra;Myomys;Myomys;x;x;;x;Myotis brandtii;bat;Murin de Brandt;Chauve-souris
Myobud;Myobud;Myobud;;;;;Myotis budapestiensis;bat;Murin Ã  oreilles Ã©chancrÃ©es;Chauve-souris
Myobul;Myobul;Myobul;;;;;Myotis bulgaricus;bat;Murin Ã  moustaches;Chauve-souris
Myobur;Myobur;Myobur;;;;;Myotis bureschi;bat;Murin de Capaccini;Chauve-souris
Myocap;Myocap;Myocap;x;x;x;;Myotis capaccinii;bat;Murin de Capaccini;Chauve-souris
Myocil;Myocil;Myocil;;;;;Myotis ciliati;bat;Murin Ã  oreilles Ã©chancrÃ©es;Chauve-souris
Myocol;Myocol;Myocol;;;;;Myotis collaris;bat;Murin Ã  moustaches;Chauve-souris
Myocoy;Myocoy;Myocoy;x;;;;Myocastor coypus;other-mammal;Rat musqué;Chauve-souris
Myocry;Myocry;Myocry;;;;;Myotis crypticus;bat;;Chauve-souris
Myodas;Myodas;Myodas;x;x;;;Myotis dasycneme;bat;Murin des marais;Chauve-souris
Myodau;Myodau;Myodau;x;x;x;x;Myotis daubentonii;bat;Murin de Daubenton;Chauve-souris
Myodom;Myodom;Myodom;;;;;Myotis dominicensis;bat;Myotis de la Dominique;Chauve-souris
Myoema;Myoema;Myoema;x;x;x;;Myotis emarginatus;bat;Murin a oreilles echancrees;Chauve-souris
Myoesc;Myoesc;Myoesc;;;;;Myotis escalerai;bat;Murin d'Escalera;Chauve-souris
Myofav;Myofav;Myofav;;;;;Myotis favonicus;bat;Murin de Bechstein;Chauve-souris
Myoghi;Myoghi;Myoghi;;;;;Myotis ghidinii;bat;Murin de Bechstein;Chauve-souris
MyoGT;MyoGT;MyoGT;x;x;x;;Myotis cf. myotis;bat;Murin de grande taille;Chauve-souris
Myohum;Myohum;Myohum;;;;;Myotis humeralis;bat;Murin Ã  moustaches;Chauve-souris
Myolan;Myolan;Myolan;;;;;Myotis lanatus;bat;Murin de Daubenton;Chauve-souris
Myolat;Myolat;Myolat;;;;;Myotis latipennis;bat;Grand Murin;Chauve-souris
Myolim;Myolim;Myolim;;;;;Myotis limnophilus;bat;Murin des marais;Chauve-souris
Myoluc;Myoluc;Myoluc;;;;;Myotis lucifugus;bat;Chauve souris brune;Chauve-souris
Myolug;Myolug;Myolug;;;;;Myotis lugubris;bat;Murin Ã  moustaches;Chauve-souris
Myomar;Myomar;Myomar;;;;;Myotis martiniquensis;bat;Murin de la Martinique;Chauve-souris
Myomeg;Myomeg;Myomeg;;;;;Myotis megapodius;bat;Murin de Capaccini;Chauve-souris
Myomin;Myomin;Myomin;;;;;Myotis minutellus;bat;Murin de Daubenton;Chauve-souris
Myomur;Myomur;Myomur;;;;;Myotis murinus;bat;Grand Murin;Chauve-souris
Myomyo;MyoGT;MyoGT;x;x;x;;Myotis myotis;bat;Grand Murin;Chauve-souris
Myomys;Myomys;Myomys;x;x;x;x;Myotis mystacinus;bat;Murin a moustaches;Chauve-souris
Myonat;Myonat;Myonat;x;x;;x;Myotis nattereri;bat;Murin groupe Natterer;Chauve-souris
Myoneg;Myoneg;Myoneg;;;;;Myotis neglectus;bat;Murin Ã  oreilles Ã©chancrÃ©es;Chauve-souris
Myonig;Myonig;Myonig;;;;;Myotis nigricans;bat;;Chauve-souris
Myooxy;Myooxy;Myooxy;;;;;Myotis oxygnathus;bat;;Chauve-souris
Myopda;Myopda;Myopda;;;;;Myopterus daubentonii;bat;Myopterus daubentonii;Chauve-souris
Myopel;Myopel;Myopel;;;;;Myotis pellucens;bat;Murin de Capaccini;Chauve-souris
Myopun;MyoGT;MyoGT;x;;;;Myotis punicus;bat;Murin du Maghreb;Chauve-souris
Myorip;Myorip;Myorip;;;;;Myotis riparius;bat;;Chauve-souris
MyospA;Myonat;Myonat;x;x;x;;Myotis sp. A ('southern' Natterer);bat;Murin sp. A;Chauve-souris
Natstr;Natstr;Natstr;;;;;Natalus stramineus;bat;Natalide isabelle;Chauve-souris
Nattum;Nattum;Nattum;;;;;Natalus tumidirostris;bat;;Chauve-souris
Nemsyl;gril;gril;x;;;;Nemobius sylvestris;ground-cricket;Grillon des bois;Chauve-souris
Neocap;Neocap;Neocap;;;;;Neoromicia capensis;bat;Neoromicia capensis;Chauve-souris
Neogui;Neogui;Neogui;;;;;Neoromicia guineensis;bat;Neoromicia guineensis;Chauve-souris
Neonan;Neonan;Neonan;;;;;Neoromicia nana;bat;Neoromicia nana;Chauve-souris
Neoren;Neoren;Neoren;;;;;Neoromicia rendalli;bat;Neoromicia rendalli;Chauve-souris
Neosom;Neosom;Neosom;;;;;Neoromicia somalica;bat;Neoromicia somalica;Chauve-souris
Neosp1;Neosp1;Neosp1;;;;;Neoromicia sp. 1;bat;Neoromicia sp. 1;Chauve-souris
Neosta;Neosta;Neosta;;;;;Neoromicia stanleyi;bat;Neoromicia stanleyi;Chauve-souris
Nocalb;Nocalb;Nocalb;;;;;Noctilio albiventris;bat;;Chauve-souris
Noclep;Noclep;Noclep;;;;;Noctilio leporinus;bat;;Chauve-souris
noise;noise;noise;x;x;x;x;noise;noise;bruit;Chauve-souris
Notneo;Notneo;Notneo;;;;;Notopteris neocaledonica;bat;Roussette Ã  queue;Chauve-souris
Numarq;piaf;piaf;x;;;x;Numenius arquata;bird;Courlis cendré;Chauve-souris
Numtor;piaf;piaf;x;;;x;Numenius phaeoptus;bird;Courlis corlieu;Chauve-souris
Nycalt;Nycalt;Nycalt;;;;;Nyctalus altivolans;bat;Noctule commune;Chauve-souris
Nycdas;Nycdas;Nycdas;;;;;Nyctalus dasykarpos;bat;Noctule de Leisler;Chauve-souris
Nychis;Nychis;Nychis;;;;;Nycteris hispida;bat;Nycteris hispida;Chauve-souris
Nyclar;Nyclar;Nyclar;;;;;Nyctalus lardarius;bat;Noctule commune;Chauve-souris
Nyclas;Nyclas;Nyclas;x;x;x;;Nyctalus lasiopterus;bat;Grande Noctule;Chauve-souris
Nyclat;Nyclat;Nyclat;;;;;Nyctinomops laticaudatus;bat;;Chauve-souris
Nyclei;Nyclei;Nyclei;x;x;x;x;Nyctalus leisleri;bat;Noctule de Leisler;Chauve-souris
Nycmac;Nycmac;Nycmac;;;;;Nycteris macrotis;bat;Nycteris macrotis;Chauve-souris
Nycmag;Nycmag;Nycmag;;;;;Nyctalus magnus;bat;Noctule commune;Chauve-souris
Nycmax;Nycmax;Nycmax;;;;;Nyctalus maxima;bat;Grande Noctule;Chauve-souris
Nycmin;Nycmin;Nycmin;;;;;Nyctalus minima;bat;Noctule commune;Chauve-souris
Nycneb;Nycneb;Nycneb;;;;;Nyctophilus nebulosus;bat;Nyctophile nÃ©buleux;Chauve-souris
Nycnoc;Nycnoc;Nycnoc;x;x;x;x;Nyctalus noctula;bat;Noctule commune;Chauve-souris
Nycpac;Nycpac;Nycpac;;;;;Nyctalus pachygnatus;bat;Noctule de Leisler;Chauve-souris
Nycpal;Nycpal;Nycpal;;;;;Nyctalus palustris;bat;Noctule commune;Chauve-souris
Nycpri;Nycpri;Nycpri;;;;;Nyctalus princeps;bat;Noctule commune;Chauve-souris
Nycpro;Nycpro;Nycpro;;;;;Nyctalus proterus;bat;Noctule commune;Chauve-souris
Nycpum;Nycpum;Nycpum;;;;;Nyctinomus pumilus;bat;Tadaride;Chauve-souris
Nycpus;Nycpus;Nycpus;;;;;Nyctinomus pusillus;bat;Tadaride;Chauve-souris
Nycsch;Nycsch;Nycsch;;;;;Nycticeinops schlieffeni;bat;Nycticeinops schlieffeni;Chauve-souris
Nycsic;Nycsic;Nycsic;;;;;Nyctalus sicula;bat;Grande Noctule;Chauve-souris
Odomac;Odomac;Odomac;;;x;;Odontura macphersoni;bush-cricket;Sauterelle de MacPherson;Chauve-souris
Oecpel;gril;gril;x;;;;Oecanthus pellucens;ground-cricket;Grillon d'Italie;Chauve-souris
Oenoen;piaf;piaf;x;;;;Oenanthe oenanthe;bird;Traquet motteux;Chauve-souris
Omovir;criq;criq;x;x;x;x;Omocestus viridulus;grasshopper;Criquet verdelet;Chauve-souris
Oriori;piaf;piaf;x;x;x;x;Oriolus oriolus;bird;Loriot d'Europe;Chauve-souris
Ortsp.;Ortsp.;Ortsp.;x;x;x;x;Orthoptera sp.;insect;Orthoptère sp.;Chauve-souris
other-mammal;other-mammal;other-mammal;;;;;;other-mammal;;Chauve-souris
Otusco;piaf;piaf;x;;;;Otus scops;bird;Petit-duc scops;Chauve-souris
Oviari;Oviari;Oviari;x;;;x;Ovis aries;other-mammal;Mouton;Chauve-souris
Panbia;piaf;piaf;x;x;x;x;Panurus biarmicus;bird;Panure à moustaches;Chauve-souris
Parmaj;piaf;piaf;x;x;x;x;Parus major;bird;Mésange charbonnière;Chauve-souris
Pasdom;piaf;piaf;x;x;x;x;Passer domesticus;bird;Moineau domestique;Chauve-souris
Pavcri;piaf;piaf;x;;;x;Pavo cristatus;bird;Paon bleu;Chauve-souris
Pelbed;amph;amph;x;x;x;x;Pelophylax bedriagae;frog;Grenouille de Bedriaga;Chauve-souris
Pelesc;amph;amph;x;;;;Pelophylax esculantus;frog;Grenouille verte;Chauve-souris
Pelgra;amph;amph;x;;x;;Pelophylax grafi;frog;Grenouille de Graf;Chauve-souris
Pelrid;amph;amph;x;x;x;x;Pelophylax ridibundus;frog;Grenouille rieuse;Chauve-souris
Perate;piaf;piaf;x;x;x;x;Periparus ater;bird;Mésange noire;Chauve-souris
Perkap;Perkap;Perkap;;;;;Peropteryx kappleri;bat;;Chauve-souris
Perleu;Perleu;Perleu;;;;;Peropteryx leucoptera;bat;;Chauve-souris
Permac;Permac;Permac;;;;;Peropteryx macrotis;bat;;Chauve-souris
Pernap;piaf;piaf;x;;;;Pernis apivorus;bird;Bondrée apivore;Chauve-souris
Pertri;Pertri;Pertri;;;;;Peropteryx trinitatis;bat;;Chauve-souris
Phacol;piaf;piaf;x;;;x;Phasianus colchicus;bird;Faisan de Colchide;Chauve-souris
Phafal;Phafal;Phafal;x;x;x;x;Phaneroptera falcata;bush-cricket;Phaneroptere commun;Chauve-souris
Phanan;Phanan;Phanan;x;x;x;;Phaneroptera nana;bush-cricket;Phaneroptere meridional;Chauve-souris
Phofem;Phofem;Phofem;x;x;;;Pholidoptera femorata;bush-cricket;Decticelle des friches;Chauve-souris
Phogri;Phogri;Phogri;x;x;x;x;Pholidoptera griseoaptera;bush-cricket;Decticelle cendree;Chauve-souris
Phooch;piaf;piaf;x;;;;Phoenicurus ochruros;bird;Rougequeue noir;Chauve-souris
Phopho;piaf;piaf;x;x;x;x;Phoenicurus phoenicurus;bird;Rougequeue à front blanc;Chauve-souris
Phybon;piaf;piaf;x;;;;Phylloscopus bonelli;bird;Pouillot de Bonelli;Chauve-souris
Phycol;piaf;piaf;x;x;x;x;Phylloscopus collybita;bird;Pouillot véloce;Chauve-souris
Phydis;Phydis;Phydis;;;;;Phyllostomus discolor;bat;;Chauve-souris
Phyelo;Phyelo;Phyelo;;;;;Phyllostomus elongatus;bat;;Chauve-souris
Phyhas;Phyhas;Phyhas;;;;;Phyllostomus hastatus;bat;;Chauve-souris
Phylat;Phylat;Phylat;;;;;Phyllostomus latifolius;bat;;Chauve-souris
Physib;piaf;piaf;x;;;x;Phylloscopus sibilatrix;bird;Pouillot siffleur;Chauve-souris
Physte;Physte;Physte;;;;;Phylloderma stenops;bat;;Chauve-souris
Phytro;piaf;piaf;x;;;x;Phylloscopus trochilus;bird;Pouillot fitis;Chauve-souris
piaf;piaf;piaf;x;x;x;x;Aves sp.;bird;Oiseau sp.;Chauve-souris
Picpic;piaf;piaf;x;x;x;x;Pica pica;bird;Pie bavarde;Chauve-souris
Picvir;piaf;piaf;x;;;x;Picus viridis;bird;Pic vert;Chauve-souris
Pipagi;Pipagi;Pipagi;;;;;Pipistrellus agilis;bat;VespÃ¨re de Savi;Chauve-souris
Pipari;Pipari;Pipari;;;;;Pipistrellus aristippe;bat;VespÃ¨re de Savi;Chauve-souris
Pipbon;Pipbon;Pipbon;;;;;Pipistrellus bonapartii;bat;VespÃ¨re de Savi;Chauve-souris
Pipbra;Pipbra;Pipbra;;;;;Pipistrellus brachyotos;bat;Pipistrelle commune;Chauve-souris
Pipcal;Pipcal;Pipcal;;;;;Pipistrellus calcarata;bat;Pipistrelle de Kuhl;Chauve-souris
Pipfla;Pipfla;Pipfla;;;;;Pipistrellus flavescens;bat;Pipistrelle commune;Chauve-souris
Pipgen;Pipgen;Pipgen;;;;;Pipistrellus genei;bat;Pipistrelle commune;Chauve-souris
Pipkuh;Pipkuh;Pipkuh;x;x;x;;Pipistrellus kuhlii;bat;Pipistrelle de Kuhl;Chauve-souris
Pipleu;Pipleu;Pipleu;;;;;Pipistrellus leucippe;bat;VespÃ¨re de Savi;Chauve-souris
Piplim;Piplim;Piplim;;;;;Pipistrellus limbatus;bat;Pipistrelle commune;Chauve-souris
Pipmad;Pipmad;Pipmad;;;;;Pipistrellus madeirensis;bat;Pipistrelle de Madère;Chauve-souris
Pipmar;Pipmar;Pipmar;;;;;Pipistrellus marginatus;bat;Pipistrelle de Kuhl;Chauve-souris
Pipmau;Pipmau;Pipmau;;;;;Pipistrellus maurus;bat;VespÃ¨re de Savi;Chauve-souris
Pipmel;Pipmel;Pipmel;;;;;Pipistrellus melanopterus;bat;Pipistrelle commune;Chauve-souris
Pipmur;Pipmur;Pipmur;;;;;Pipistrellus murinus;bat;Pipistrelle commune;Chauve-souris
Pipnan;Pipnan;Pipnan;;;;;Pipistrellus nanulus;bat;Pipistrellus nanulus;Chauve-souris
Pipnat;Pipnat;Pipnat;x;x;x;x;Pipistrellus nathusii;bat;Pipistrelle de Nathusius;Chauve-souris
Pippip;Pippip;Pippip;x;x;x;x;Pipistrellus pipistrellus;bat;Pipistrelle commune;Chauve-souris
Pippyg;Pippyg;Pippyg;x;x;x;x;Pipistrellus pygmaeus;bat;Pipistrelle soprane;Chauve-souris
Piprus;Piprus;Piprus;;;;;Pipistrellus rusticus;bat;Pipistrellus rusticus;Chauve-souris
Pipsav;Pipsav;Pipsav;;;;;Pipistrellus savii;bat;VespÃ¨re de Savi;Chauve-souris
Pipsp1;Pipsp1;Pipsp1;;;;;Pipistrellus sp. 1;bat;Pipistrellus sp. 1;Chauve-souris
Pipsp2;Pipsp2;Pipsp2;;;;;Pipistrellus sp. 2;bat;Pipistrellus sp. 2;Chauve-souris
Piptau;Piptau;Piptau;;;;;Pipistrellus tauricus;bat;VespÃ¨re de Savi;Chauve-souris
Pipuni;Pipuni;Pipuni;;;;;Pipistrellus unicolor;bat;Pipistrelle de Nathusius;Chauve-souris
Pipvis;Pipvis;Pipvis;;;;;Pipistrellus vispistrellus;bat;Pipistrelle de Kuhl;Chauve-souris
Plaaff;Plaaff;Plaaff;x;;x;;Platycleis affinis;bush-cricket;Decticelle cotiere;Chauve-souris
Plaalb;Plaalb;Plaalb;x;;x;x;Platycleis albopunctata;bush-cricket;Decticelle chagrinee;Chauve-souris
Plabra;Plabra;Plabra;;;;;Platyrrhinus brachycephalus;bat;;Chauve-souris
Plafal;Plafal;Plafal;x;;x;;Platycleis falx;bush-cricket;Decticelle a serpe;Chauve-souris
Plafus;Plafus;Plafus;;;;;Platyrrhinus fusciventris;bat;;Chauve-souris
Plahel;Plahel;Plahel;;;;;Platyrrhinus helleri;bat;;Chauve-souris
Plaibe;Plaibe;Plaibe;;;x;;Platycleis iberica;bush-cricket;Decticelle iberique;Chauve-souris
Plainc;Plainc;Plainc;;;;;Platyrrhinus incarum;bat;;Chauve-souris
Plaint;Plaint;Plaint;x;;x;;Platycleis intermedia;bush-cricket;Decticelle intermediaire;Chauve-souris
Plalin;Plalin;Plalin;;;;;Platyrrhinus lineatus;bat;;Chauve-souris
