Esp,Nesp,France,Turquie,Espagne,Norfolk,Scientific name,Group
Picpic,piaf,x,x,x,x,Pica pica,bird
Pipkuh,Pipkuh,x,x,x,x,Pipistrellus kuhlii,bat
Pipnat,Pipnat,x,x,x,x,Pipistrellus nathusii,bat
Pippip,Pippip,x,x,x,x,Pipistrellus pipistrellus,bat
Pippyg,Pippyg,x,x,x,x,Pipistrellus pygmaeus,bat
Plaaff,Plaaff,x,,x,,Platycleis affinis,bush-cricket
Plaalb,Plaalb,x,,x,x,Platycleis albopunctata,bush-cricket
Plafal,Plafal,x,,x,,Platycleis falx,bush-cricket
Plaibe,Plaibe,,,x,,Platycleis iberica,bush-cricket
Plaint,Plaint,x,,x,,Platycleis intermedia,bush-cricket
Plasab,Plasab,x,,x,,Platycleis sabulosa,bush-cricket
Pleaur,Pleaur,x,,x,x,Plecotus auritus,bat
Pleaus,Pleaus,x,,x,x,Plecotus austriacus,bat
Plebeg,Pleaur,x,,x,x,Plecotus begoniae,bat
Plekol,Plekol,,x,,,Plecotus kolombatovici,bat
Plemac,Plemac,x,x,x,,Plecotus macrobullaris,bat
Poepal,piaf,x,x,x,x,Poecilus palustris,bird
Prumod,piaf,x,x,x,x,Prunella modularis,bird
Pteger,Pteger,x,x,,,Pterolepis germanica,bush-cricket
Ptegra,Ptegra,,x,x,,Pterolepis grallata,bush-cricket
Ptepon,Ptepon,x,x,x,,Pterolepis poneli,bush-cricket
Pycgos,piaf,x,x,x,,Pycnonotus xanthopygos,bird
Pycjug,Pycjug,,,x,,Pycnogaster jugicola,bush-cricket
Ratnor,Ratnor,x,x,x,x,Rattus norvegicus,other mammal
Regign,piaf,x,x,x,x,Regulus ignicapillus,bird
Regreg,piaf,x,x,x,x,Regulus regulus,bird
Rhibla,Rhibla,x,x,,,Rhinolophus blasii,bat
Rhieur,Rhieur,x,x,x,,Rhinolophus euryale,bat
Rhifer,Rhifer,x,x,x,x,Rhinolophus ferrumequinum,bat
Rhihip,Rhihip,x,x,x,x,Rhinolophus hipposideros,bat
Rhimeh,Rhimeh,,x,x,,Rhinolophus mehelyi,bat
RodTu1,mamm,x,x,x,,Rodentia sp. from Turkey 1,other mammal
Roeroe,Roeroe,x,x,x,x,Roeseliana roeselii,bush-cricket
Rusnit,Rusnit,x,x,x,x,Ruspolia nitidula,bush-cricket
SauTu4,SauTu4,,x,,,Tettigoniidae sp. from Turkey 4,bush-cricket
SauTu5,SauTu5,,x,,,Tettigoniidae sp. from Turkey 5,bush-cricket
SauTu6,SauTu6,,x,,,Tettigoniidae sp. from Turkey 6,bush-cricket
SauTu7,SauTu7,,x,,,Tettigoniidae sp. from Turkey 7,bush-cricket
Sepsep,Sepsep,x,,x,,Sepiana sepium,bush-cricket
Serser,piaf,x,x,x,x,Serinus serinus,bird
Siteur,piaf,x,x,x,x,Sitta europaea,bird
Sorcor,Mussp,x,x,x,x,Soricinus coronatus,bush-cricket
Stralu,piaf,x,x,x,x,Strix aluco,bird
Strdec,piaf,x,x,x,,Streptopelia decaocto,bird
Stuvul,piaf,x,x,x,x,Sturnus vulgaris,bird
Sylatr,piaf,x,x,x,x,Sylvia atricapilla,bird
Sylmel,piaf,x,x,x,x,Sylvia melanocephala,bird
Tadten,Tadten,x,x,x,,Tadarida teniotis,bush-cricket
Tesori,Tesori,,,,,Tessellana orina,bush-cricket
Testes,Testes,x,x,x,,Tessellana tessellata,bush-cricket
Tetarg,Tetarg,x,,x,,Tettigetta argentata,cicada
Tetcan,Tetcan,x,x,x,,Tettigonia cantans,bush-cricket
Tethis,Tethis,,,x,,Tettigonia hispanica,bush-cricket
Tetpyg,Tetpyg,x,,x,,Tettigetta pygmea,cicada
Tetvir,Tetvir,x,x,x,x,Tettigonia viridissima,bush-cricket
Thycor,Thycor,x,,x,,Thyreonotus corsicus,bush-cricket
Trotro,piaf,x,x,x,x,Troglodytes troglodytes,bird
Turmer,piaf,x,x,x,x,Turdus merula,bird
Turphi,piaf,x,x,x,x,Turdus philomelos,bird
Tyllil,Tyllil,x,x,x,,Tylopsis lilifolia,bush-cricket
Urorug,Urorug,x,,x,,Uromenus rugosicollis,bush-cricket
Vesmur,Vesmur,x,x,x,,Vespertilio murinus,bat
Yerray,Yerray,x,,x,,Yersinella raymondii,bush-cricket
Zeuabb,Zeuabb,x,,x,,Zeuneriana abbreviata,bush-cricket
SauTurquiesp1,SauTurquiesp1,,x,,,Tettigoniidae sp. from Turkey 1,bush-cricket
SauTurquiesp2,SauTurquiesp2,,x,,,Tettigoniidae sp. from Turkey 2,bush-cricket
SauTurquiesp3,SauTurquiesp3,,x,,,Tettigoniidae sp. from Turkey 3,bush-cricket
