Esp;Nesp;Nesp2;France;Turquie;Espagne;Norfolk;Scientific name;Group;NomFR;GroupFR
Cerbra;piaf;piaf;x;x;x;x;Certhia brachydactyla;bird;Grimpereau des jardins;Autre
Cerela;Cerela;Cerela;x;;;x;Cervus elaphus;other mammal;Cerf élaphe;Autre
Cetcet;piaf;piaf;x;x;x;x;Cettia cettia;bird;Bouscarle de Cetti;Autre
Chahia;piaf;piaf;x;;;x;Charadrius hiaticula;bird;Grand Gravelot;Autre
Chioniv;Chioniv;Chioniv;x;x;x;;Chionomys nivalis;other mammal;Campagnol des neiges;Autre
chirp;chirp;noise;x;;;;chirp;noise;chirp;Autre
Chlchl;piaf;piaf;x;x;x;x;Chloris chloris;bird;Verdier d'Europe;Autre
Chlhyb;piaf;piaf;x;;;;Chlidonias hybridus;bird;Guifette moustac;Autre
Chobru;criq;criq;x;;;x;Chorthippus brunneus;grasshopper;Criquet duettiste;Autre
Chovag;criq;criq;x;x;x;x;Chorthippus vagans;grasshopper;Criquet des pins;Autre
Chrrid;piaf;piaf;x;;;x;Chroicocephalus ridibundus;bird;Mouette rieuse;Autre
Cicatr;Cicatr;cigale;x;x;x;;Cicadatra atra;cicada;Cigale noire;Autre
Cicorn;Cicorn;cigale;x;x;x;;Cicada orni;cicada;Cigale grise;Autre
cigale;cigale;cigale;x;x;x;x;Cicadoidea sp.;cicada;Cigale sp.;Autre
Cincin;piaf;piaf;x;;;x;Cinclus cinclus;bird;Cincle plongeur;Autre
Ciraer;piaf;piaf;x;;;x;Circus aeruginosus;bird;Busard des roseaux;Autre
Cisjun;piaf;piaf;x;x;x;x;Cisticola juncidis;bird;Cisticole des joncs;Autre
Coccoc;piaf;piaf;x;;;x;Coccothraustes coccothraustes;bird;Grosbec casse-noyaux;Autre
Colpal;piaf;piaf;x;;;x;Columba palumbus;bird;Pigeon ramier;Autre
Concon;Concon;Confus;x;x;x;;Conocephalus conocephalus;bush-cricket;Conocéphale africain;Sauterelle
Condor;Condor;Confus;x;x;x;x;Conocephalus dorsalis;bush-cricket;Conocephale des marais;Sauterelle
Confus;Confus;Confus;x;;x;x;Conocephalus fuscus;bush-cricket;Conocephale bigarre;Sauterelle
Corcho;Epheph;Epheph;x;;;;Corsteropleurus chopardi;bush-cricket;Ephippigère corse;Sauterelle
Corfru;piaf;piaf;x;;;x;Corvus frugilegus;bird;Corbeau freux;Autre
Cormon;piaf;piaf;x;;;x;Corvus monedula;bird;Choucas des tours;Autre
Cornix;piaf;piaf;x;x;x;x;Corvus cornix;bird;Corneille mantelée;Autre
Corone;piaf;piaf;x;;;x;Corvus corone;bird;Corneille noire;Autre
Corrax;piaf;piaf;x;x;x;x;Corvus corax;bird;Grand Corbeau;Autre
Cotcot;piaf;piaf;x;;;x;Coturnix coturnix;bird;Caille des blés;Autre
criq;criq;criq;x;x;x;x;Caelifera sp.;grasshopper;Criquet sp.;Autre
Crorus;Mussp;Mussp;x;x;x;x;Crocidura russula;other mammal;Crocidure musette;Autre
Cuccan;piaf;piaf;x;;;x;Cuculus canorus;bird;Coucou gris;Autre
Culimp;Culimp;Culimp;x;;;x;Culicoides impunctatus;fly;Moustique;Autre
Cyacae;piaf;piaf;x;x;x;x;Cyanistes caerulea;bird;Mésange bleue;Autre
Cympud;Cympud;Cympud;x;;x;;Cymbalophora pudica;moth;Ecaille pudique;Autre
Cyrscu;Cyrscu;Cyrscu;x;;x;;Cyrtaspis scutata;bush-cricket;Meconeme a bouclier;Sauterelle
Decalb;Decalb;Decalb;x;x;x;;Decticus albifrons;bush-cricket;Dectique a front blanc;Sauterelle
Delurb;piaf;piaf;x;;;x;Delichon urbica;bird;Hirondelle de fenêtre;Sauterelle
Denmaj;piaf;piaf;x;x;x;x;Dendrocopos major;bird;Pic épeiche;Autre
Denmin;piaf;piaf;x;;;x;Dendrocopos minor;bird;Pic épeichette;Autre
Egrgar;piaf;piaf;x;;;x;Egretta garzetta;bird;Aigrette garzette;Autre
elec;noise;noise;x;x;x;x;electronical noise;noise;parasite;Autre
Embcae;piaf;piaf;x;x;x;x;Emberiza caesia;bird;Bruant cendrillard;Autre
Embcal;piaf;piaf;x;x;x;x;Emberiza calandra;bird;Bruant proyer;Autre
Embcia;piaf;piaf;x;;;;Emberiza cia;bird;Bruant fou;Autre
Embcir;piaf;piaf;x;x;x;x;Emberiza cirlus;bird;Bruant zizi;Autre
Embcit;piaf;piaf;x;x;x;x;Emberiza citrinella;bird;Bruant jaune;Autre
Embhor;piaf;piaf;x;;;;Emberiza hortulana;bird;Bruant ortolan;Autre
Embsch;piaf;piaf;x;x;x;x;Emberiza schoeniclus;bird;Bruant des roseaux;Autre
Epheph;Epheph;Epheph;x;;x;;Ephippiger ephippiger;bush-cricket;Ephippigere des vignes;Sauterelle
Eptana;Eptnil;Eptnil;x;x;;;Eptesicus anatolicus;bat;Serotine d'Anatolie;Chauve-souris
Eptisa;Eptisa;Eptisa;;;x;;Eptesicus isabellinus;bat;Serotine isabelle;Chauve-souris
Eptnil;Eptnil;Eptnil;x;;x;;Eptesicus nilssonii;bat;Sérotine boréale;Chauve-souris
Eptser;Eptser;Eptser;x;x;x;x;Eptesicus serotinus;bat;Serotine commune;Chauve-souris
Equasi;Equasi;Equasi;x;;;x;Equus asinus;other mammal;Ane;Autre
Equfer;Equfer;Equfer;x;;;x;Equus ferus;other mammal;Cheval;Autre
Erieur;Erieur;Erieur;x;;;x;Erinaceus europaeus;other mammal;Hérisson d'Europe;Autre
Erirub;piaf;piaf;x;x;x;x;Erithacus rubecula;bird;Rougegorge familier;Autre
Euccho;criq;criq;x;x;x;x;Euchorthippus chopardii;grasshopper;Criquet des bragalous;Autre
Eucele;criq;criq;x;;;;Euchorthippus elegantulus;grasshopper;Criquet blafard;Autre
Eugpip;gril;gril;x;;;;Eugryllodes pipiens;ground-cricket;Grillon de montagne;Autre
Eumbor;gril;gril;x;x;x;;Eumodycogryllus bordigalensis;ground-cricket;Grillon bordelais;Autre
Eupcha;Eupsp;Eupsp;x;x;;;Eupholidoptera chabrieri;bush-cricket;Decticelle splendide;Sauterelle
Eupsp;Eupsp;Eupsp;x;x;;;Eupholidoptera sp.;bush-cricket;Decticelle splendide;Sauterelle
Euptyr;Eupsp;Eupsp;x;x;x;;Eupholidoptera tyrrhenica;bush-cricket;Decticelle corse;Sauterelle
Falsub;piaf;piaf;x;;;x;Falco subbuteo;bird;Faucon hobereau;Autre
Faltin;piaf;piaf;x;;;x;Falco tinnunculus;bird;Faucon crécerelle;Autre
Fricoe;piaf;piaf;x;x;x;x;Fringilla coelebs;bird;Pinson des arbres;Autre
Frimon;piaf;piaf;x;x;x;x;Fringilla montifringilla;bird;Pinson du Nord;Autre
Fulatr;piaf;piaf;x;;;x;Fulica atra;bird;Foulque macroule;Autre
Fulcri;piaf;piaf;;;x;;Fulica cristata;bird;Foulque à crête;Autre
Galchl;piaf;piaf;x;;;x;Gallinula chloropus;bird;Gallinule poule-d'eau;Autre
Galdom;piaf;piaf;x;;;x;Gallus gallus;bird;Poule;Autre
Galgal;piaf;piaf;x;;;x;Gallinago gallinago;bird;Bécassine des marais;Autre
Gargla;piaf;piaf;x;;;x;Garrulus glandarius;bird;Geai des chênes;Autre
gril;gril;gril;x;x;x;x;Gryllidae sp.;ground-cricket;grillon sp.;Autre
Grugru;piaf;piaf;x;;;x;Grus grus;bird;Grue cendrée;Autre
Grybim;gril;gril;x;;;;Gryllus bimaculatus;ground-cricket;Grillon de Provence;Autre
Grycam;gril;gril;x;x;x;;Gryllus campestris;ground-cricket;Grillon champêtre;Autre
gunsht;gunsht;gunsht;x;;;x;Gun shot;noise;Tir;Autre
Haeost;piaf;piaf;x;;;x;Haematopus ostralegus;bird;Huitrier pie;Autre
Hippol;piaf;piaf;x;;;;Hippolais polyglotta;bird;Hypola‹s polyglotte;Autre
Hirrus;piaf;piaf;x;;;x;Hirundo rustica;bird;Hirondelle rustique;Autre
Homsap;mamm;mamm;x;x;x;x;Homo sapiens;other mammal;voix;Autre
Hylmer;amph;amph;x;;x;;Hyla meridionalis;frog;Rainette méridionale;Autre
Hypsav;Hypsav;Hypsav;x;x;x;;Hypsugo savii;bat;Vespere de Savi;Chauve-souris
Insp10;Insp10;Insp10;x;x;x;x;Insect sp.10;insect;Insecte sp. type 10;Autre
Insp11;Insp11;Insp11;x;x;x;x;Insect sp.11;insect;Insecte sp. type 11;Autre
Insp12;Insp12;Insp12;x;x;x;x;Insect sp.12;insect;Insecte sp. type 12;Autre
Inssp1;Inssp1;Inssp1;x;;x;x;Insect sp.1;insect;Insecte sp. type 1;Autre
Inssp2;Inssp2;Inssp2;x;;x;x;Insect sp.2;insect;Insecte sp. type 2;Autre
Inssp5;Inssp5;Inssp5;x;;x;x;Insect sp.5;insect;Insecte sp. type 5;Autre
Inssp6;Yposp;Yposp;x;;x;x;Insect sp.6;insect;Insecte sp. type 6;Autre
Inssp7;Inssp7;Inssp7;x;;x;x;Insect sp.7;insect;Insecte sp. type 7;Autre
Inssp8;Inssp8;Inssp8;x;x;x;x;Insect sp. 8;insect;Insecte sp. type 8;Autre
Inssp9;Yposp;Yposp;x;x;x;x;Insect sp. 9;insect;Insecte sp. type 9;Autre
INSSPE;INSSPE;INSSPE;x;;;x;Insect spp;insect;Insecte sp.;Autre
InsTu1;InsTu1;InsTu1;;x;;;Insect sp. from Turkey 1;insect;Insecte sp. Tu1;Autre
Isopyr;Isopyr;Isopyr;x;x;x;;Isophya pyrenaea;bush-cricket;Barbatiste pyreneen;Sauterelle
Jyntor;piaf;piaf;x;;;;Jinx torquilla;bird;Torcol fourmilier;Autre
Lamsp.;Lamsp.;Lamsp.;x;x;x;x;Lampyris sp.;beetle;Lampyre sp.;Autre
Lanmer;piaf;piaf;x;;;;Lanius meridionalis;bird;Pie-grièche méridionale;Autre
Lansen;piaf;piaf;x;;;;Lanius senator;bird;Pie-grièche à tête rousse;Autre
Lararg;piaf;piaf;x;;;x;Larus argentatus;bird;Goéland argenté;Autre
Larmic;piaf;piaf;x;;;;Larus michahellis;bird;Goéland leucophée;Autre
Lepalb;Lepalb;Lepalb;x;x;;;Leptophyes albovittata;bush-cricket;Sauterelle rayee;Sauterelle
Lepbos;Lepbos;Lepbos;x;;;;Leptophyes boscii;bush-cricket;Sauterelle sarmate;Sauterelle
Leplat;Leplat;Leplat;x;;;;Leptophyes laticauda;bush-cricket;Sauterelle provençale;Sauterelle
Leppun;Leppun;Leppun;x;;x;x;Leptophyes punctatissima;bush-cricket;Sauterelle ponctuee;Sauterelle
Limgri;piaf;piaf;x;x;;x;Limnodromus griseus;bird;Limnodrome à bec court;Autre
Limlap;piaf;piaf;x;x;x;x;Limosa lapponica;bird;Barge rousse;Autre
Lincan;piaf;piaf;x;;;x;Linaria cannabina;bird;Linotte mélodieuse;Autre
Llusta;Llusta;Llusta;;;x;;Lluciapomaresius stalii;bush-cricket;Ephippigere de Stal;Sauterelle
Loclus;piaf;piaf;x;;;x;Locustella luscinoides;bird;Locustelle luscino‹de;Autre
Locnae;piaf;piaf;x;;;x;Locustella naevia;bird;Locustelle tachetée;Autre
Lopcri;piaf;piaf;x;x;x;x;Lophophanes cristatus;bird;Mésange huppée;Autre
Loxcur;piaf;piaf;x;;;x;Loxia curvirostra;bird;Beccroisé des sapins;Autre
Lularb;piaf;piaf;x;;;x;Lullula arborea;bird;Alouette lulu;Autre
Lusmeg;piaf;piaf;x;x;x;x;Luscinia megarhynchos;bird;Rossignol philomèle;Autre
Lyrple;Lyrple;cigale;x;x;x;;Lyristes plebejus;cicada;Cigale commune;Autre
mamm;mamm;mamm;x;x;x;x;Mammalia sp.;other mammal;Mammifere sp.;Autre
Marfoi;Marfoi;Marfoi;x;;;;Martes foina;other mammal;Fouine;Autre
Marmar;Marmar;Marmar;x;x;x;;Martes martes;other mammal;Martre;Autre
mec;noise;noise;x;x;x;x;mechanical noise;noise;autre bruit;Autre
Merapi;piaf;piaf;x;;;;Merops apiaster;bird;Guêpier;Autre
Metbra;Metbra;Metbra;x;;;x;Metrioptera brachyptera;bush-cricket;Decticelle des bruyeres;Sauterelle
Metpul;Metpul;Metpul;x;;;;Metaplastes pulchripennis;bush-cricket;Barbitiste corse;Sauterelle
Metsau;Metbra;Metbra;x;x;x;;Metrioptera saussuriana;bush-cricket;Decticelle des alpages;Sauterelle
Micagr;Micagr;Micagr;x;x;x;x;Microtus agrestis;other mammal;Campagnol agreste;Autre
Micarv;Micagr;Micagr;x;;x;;Microtus arvalis;other mammal;Campagnol des champs;Autre
Micduo;Micagr;Micagr;x;;x;;Microtus duodecimcostatus;other mammal;Campagnol provençal;Autre
Micger;Micagr;Micagr;x;;x;;Microtus gerbei;other mammal;Campagnol des Pyrénées;Autre
Miclus;Micagr;Micagr;x;;x;;Microtus lusitanicus;other mammal;Campagnol basque;Autre
Micmin;Micmin;Micmin;x;;;x;Micromys minutus;other mammal;Rat des moissons;Autre
Micmul;Micagr;Micagr;x;;;;Microtus multiplex;other mammal;Campagnol de Fatio;Autre
Micsav;Micagr;Micagr;x;;;;Microtus savii;other mammal;Campagnol de Savi;Autre
Micsub;Micagr;Micagr;x;;;;Microtus subterraneus;other mammal;Campagnol de Savi;Autre
Mimasp;Mimasp;Mimasp;x;;;x;Small mammal spp;other mammal;Micromammifère sp.;Autre
Minsch;Minsch;Minsch;x;x;x;;Miniopterus schreibersii;bat;Minioptere;Chauve-souris
mixed;mixed;mixed;;;;x;mixed;noise;mix;Autre
Mmasp1;mamm;mamm;x;x;x;x;micromammals sp.1;other mammal;Micromammifère type 1;Autre
Mmasp2;mamm;mamm;x;x;x;x;micromammals sp.2;other mammal;Micromammifère type 2;Autre
Mmasp3;mamm;mamm;x;x;x;x;micromammals sp.3;other mammal;Micromammifère type 3;Autre
Mmasp4;mamm;mamm;x;x;x;x;micromammals sp.4;other mammal;Micromammifère type 4;Autre
MmaTu1;mamm;mamm;x;x;x;;micromammals sp. from Turkey 1;other mammal;Micromammifère de Turquie type 1;Autre
Motalb;piaf;piaf;x;;;x;Motacilla alba;bird;Bergeronnette grise;Autre
Motcin;piaf;piaf;x;x;x;x;Motacilla cinerea;bird;Bergeronnette des ruisseaux;Autre
Motfla;piaf;piaf;x;x;x;x;Motacilla flava;bird;Bergeronnette printanière;Autre
Munree;Munree;Munree;;;;x;Muntiacus reevesi;other mammal;Muntjac;Autre
Muserm;Muserm;Muserm;x;;x;x;Mustela erminea;other mammal;Hermine;Autre
Muslut;Muslut;Muslut;x;;x;;Mustela lutreola;other mammal;Vison d'Europe;Autre
Musniv;Musniv;Musniv;x;x;x;x;Mustela nivalis;other mammal;Belette;Autre
Musput;Musput;Musput;x;;x;;Mustela putorius;other mammal;Putois d'Europe;Autre
Mussp;Mussp;Mussp;x;x;x;x;Soricidae sp.;other mammal;Musaraigne sp.;Autre
Musstr;piaf;piaf;x;;;x;Muscicapa striata;bird;Gobemouche gris;Autre
Musvis;Musvis;Musvis;x;;x;x;Mustela vison;other mammal;Vison d'Amerique;Autre
Myoalc;Myoalc;Myoalc;x;x;x;x;Myotis alcathoe;bat;Murin d'Alcathoe;Chauve-souris
Myobec;Myobec;Myobec;x;x;x;x;Myotis bechsteinii;bat;Murin de Bechstein;Chauve-souris
Myobly;MyoGT;MyoGT;x;x;x;;Myotis blythii;bat;Petit Murin;Chauve-souris
Myobra;Myomys;Myomys;x;x;;x;Myotis brandtii;bat;Murin de Brandt;Chauve-souris
Myocap;Myocap;Myocap;x;x;x;;Myotis capaccinii;bat;Murin de Capaccini;Chauve-souris
Myocoy;Myocoy;Myocoy;x;;;;Myocastor coypus;other mammal;Rat musqué;Autre
Myodas;Myodas;Myodas;x;x;;;Myotis dasycneme;bat;Murin des marais;Chauve-souris
Myodau;Myodau;Myodau;x;x;x;x;Myotis daubentonii;bat;Murin de Daubenton;Chauve-souris
Myoema;Myoema;Myoema;x;x;x;x;Myotis emarginatus;bat;Murin a oreilles echancrees;Chauve-souris
MyoGT;MyoGT;MyoGT;x;x;x;x;Myotis cf. myotis;bat;Murin de grande taille;Chauve-souris
Myomyo;MyoGT;MyoGT;x;x;x;;Myotis myotis;bat;Grand Murin;Chauve-souris
Myomys;Myomys;Myomys;x;x;x;x;Myotis mystacinus;bat;Murin a moustaches;Chauve-souris
Myonat;Myonat;Myonat;x;x;;x;Myotis nattereri;bat;Murin groupe Natterer;Chauve-souris
MyospA;Myonat;Myonat;x;x;x;x;Myotis sp. A ('southern' Natterer);bat;Murin sp. A;Chauve-souris
Nemsyl;gril;gril;x;;;;Nemobius sylvestris;ground-cricket;Grillon des bois;Autre
noise;noise;noise;x;x;x;x;noise;noise;bruit;Autre
Numarq;piaf;piaf;x;;;x;Numenius arquata;bird;Courlis cendré;Autre
Numtor;piaf;piaf;x;;;x;Numenius phaeoptus;bird;Courlis corlieu;Autre
Nyclas;Nyclas;Nyclas;x;x;x;;Nyctalus lasiopterus;bat;Grande Noctule;Chauve-souris
Nyclei;Nyclei;Nyclei;x;x;x;x;Nyctalus leisleri;bat;Noctule de Leisler;Chauve-souris
Nycnoc;Nycnoc;Nycnoc;x;x;x;x;Nyctalus noctula;bat;Noctule commune;Chauve-souris
Odomac;Odomac;Odomac;;;x;;Odontura macphersoni;bush-cricket;Sauterelle de MacPherson;Sauterelle
Oecpel;gril;gril;x;;;;Oecanthus pellucens;ground-cricket;Grillon d'Italie;Autre
Oenoen;piaf;piaf;x;;;;Oenanthe oenanthe;bird;Traquet motteux;Autre
Omovir;criq;criq;x;x;x;x;Omocestus viridulus;grasshopper;Criquet verdelet;Autre
Oriori;piaf;piaf;x;x;x;x;Oriolus oriolus;bird;Loriot d'Europe;Autre
Ortsp.;Ortsp.;Ortsp.;x;x;x;x;Orthoptera sp.;insect;Orthoptère sp.;Autre
Otusco;piaf;piaf;x;;;;Otus scops;bird;Petit-duc scops;Autre
Oviari;Oviari;Oviari;x;;;x;Ovis aries;other mammal;Mouton;Autre
Panbia;piaf;piaf;x;x;x;x;Panurus biarmicus;bird;Panure à moustaches;Autre
Parmaj;piaf;piaf;x;x;x;x;Parus major;bird;Mésange charbonnière;Autre
